province,year,gdp
安徽省	,2018,34377.3
福建省	,2018,39204.8
江西省	,2018,23016.9
山东省	,2018,67864.4
河南省	,2018,50273.5
湖北省	,2018,42425.5
湖南省	,2018,36629.3
广东省	,2018,101875.9
广西壮族自治区	,2018,19951.7
海南省	,2018,5004.2
重庆市	,2018,21866.8
四川省	,2018,43539.0
贵州省	,2018,15886.6
云南省	,2018,21427.5
西藏自治区	,2018,1583.5
陕西省	,2018,24354.8
甘肃省	,2018,8364.7
青海省	,2018,2799.9
宁夏回族自治区	,2018,3580.6
新疆维吾尔自治区	,2018,13110.1
北京市	,2017,31325.9
天津市	,2017,12468.2
河北省	,2017,31065.5
山西省	,2017,14679.1
内蒙古自治区	,2017,15009.9
辽宁省	,2017,22105.4
吉林省	,2017,11083.0
黑龙江省	,2017,12659.5
上海市	,2017,34378.3
江苏省	,2017,86512.9
浙江省	,2017,53135.2
安徽省	,2017,30141.8
福建省	,2017,34432.2
江西省	,2017,20497.6
山东省	,2017,63958.6
河南省	,2017,44586.5
湖北省	,2017,37624.2
湖南省	,2017,34127.7
广东省	,2017,93004.8
广西壮族自治区	,2017,18071.7
海南省	,2017,4552.9
重庆市	,2017,20260.8
四川省	,2017,38517.1
贵州省	,2017,14067.3
云南省	,2017,18864.6
西藏自治区	,2017,1381.0
陕西省	,2017,21776.1
甘肃省	,2017,7642.6
青海省	,2017,2517.0
宁夏回族自治区	,2017,3271.6
新疆维吾尔自治区	,2017,11460.8
北京市	,2016,28438.7
天津市	,2016,11487.0
河北省	,2016,28879.7
山西省	,2016,12160.1
内蒙古自治区	,2016,13879.0
辽宁省	,2016,20832.0
吉林省	,2016,10603.5
黑龙江省	,2016,12280.9
上海市	,2016,30963.9
江苏省	,2016,78261.2
浙江省	,2016,48095.8
安徽省	,2016,26801.2
福建省	,2016,30199.2
江西省	,2016,18761.2
山东省	,2016,59702.6
河南省	,2016,40167.7
湖北省	,2016,33767.6
湖南省	,2016,31225.0
广东省	,2016,83493.4
广西壮族自治区	,2016,16417.2
海南省	,2016,4151.0
重庆市	,2016,18271.1
四川省	,2016,33879.2
贵州省	,2016,12133.9
云南省	,2016,16773.6
西藏自治区	,2016,1197.4
陕西省	,2016,19354.6
甘肃省	,2016,7207.1
青海省	,2016,2310.7
宁夏回族自治区	,2016,2853.3
新疆维吾尔自治区	,2016,9913.9
北京市	,2015,26034.1
天津市	,2015,10889.2
河北省	,2015,26744.1
山西省	,2015,12036.1
内蒙古自治区	,2015,13062.7
辽宁省	,2015,20657.8
吉林省	,2015,10162.9
黑龙江省	,2015,12023.2
上海市	,2015,27821.6
江苏省	,2015,71876.0
浙江省	,2015,44222.0
安徽省	,2015,24142.7
福建省	,2015,27307.5
江西省	,2015,17031.1
山东省	,2015,56159.1
河南省	,2015,36798.2
湖北省	,2015,30661.6
湖南省	,2015,28811.7
广东省	,2015,75820.8
广西壮族自治区	,2015,15030.2
海南省	,2015,3782.7
重庆市	,2015,16305.9
四川省	,2015,30829.1
贵州省	,2015,10887.1
云南省	,2015,15358.6
西藏自治区	,2015,1063.6
陕西省	,2015,18188.3
甘肃省	,2015,6793.4
青海省	,2015,2054.3
宁夏回族自治区	,2015,2644.7
新疆维吾尔自治区	,2015,9545.7
北京市	,2014,23577.5
天津市	,2014,10749.2
河北省	,2014,25644.1
山西省	,2014,12307.0
内蒙古自治区	,2014,12377.3
辽宁省	,2014,20381.5
吉林省	,2014,10077.0
黑龙江省	,2014,12357.1
上海市	,2014,25964.5
江苏省	,2014,66228.3
浙江省	,2014,40744.1
安徽省	,2014,22880.7
福建省	,2014,25329.4
江西省	,2014,15858.6
山东省	,2014,51552.7
河南省	,2014,34611.2
湖北省	,2014,28805.9
湖南省	,2014,26309.1
广东省	,2014,69593.4
广西壮族自治区	,2014,13856.7
海南省	,2014,3541.2
重庆市	,2014,14911.7
四川省	,2014,29357.5
贵州省	,2014,9297.5
云南省	,2014,14275.1
西藏自治区	,2014,954.8
陕西省	,2014,17635.6
甘肃省	,2014,6629.4
青海省	,2014,1875.1
宁夏回族自治区	,2014,2516.4
新疆维吾尔自治区	,2014,9400.2
北京市	,2013,21746.0
天津市	,2013,10075.2
河北省	,2013,24659.1
山西省	,2013,12171.8
内蒙古自治区	,2013,11584.9
辽宁省	,2013,19534.3
吉林省	,2013,9608.6
黑龙江省	,2013,12017.0
上海市	,2013,23809.4
江苏省	,2013,60505.2
浙江省	,2013,38023.3
安徽省	,2013,20888.2
福建省	,2013,22851.7
江西省	,2013,14473.4
山东省	,2013,48058.1
河南省	,2013,31621.4
湖北省	,2013,25851.7
湖南省	,2013,23916.3
广东省	,2013,63757.3
广西壮族自治区	,2013,12680.6
海南省	,2013,3201.9
