数据库：分省年度数据 ,,,,,,,,,,,,,,,
时间：2011年-2025年 ,,,,,,,,,,,,,,,
"地区	","2025年	","2024年	","2023年	","2022年	","2021年	","2020年	","2019年	","2018年	","2017年	","2016年	","2015年	","2014年	","2013年	","2012年	","2011年	"
"广东省	","	","141488.9	","137905.4	","132547.1	","127577.4	","113708.9	","110468.1	","101875.9	","93004.8	","83493.4	","75820.8	","69593.4	","63757.3	","58057.6	","54009.6	"
"广西壮族自治区	","	","28694.1	","27501.7	","26419.7	","25311.5	","22250.7	","21341.5	","19951.7	","18071.7	","16417.2	","15030.2	","13856.7	","12680.6	","11496.6	","10472.7	"
"海南省	","	","7972.7	","7590.2	","6912.8	","6508.9	","5640.8	","5442.1	","5004.2	","4552.9	","4151.0	","3782.7	","3541.2	","3201.9	","2863.6	","2525.1	"
"重庆市	","	","32046.7	","30614.3	","28771.8	","28092.5	","25158.1	","23689.6	","21866.8	","20260.8	","18271.1	","16305.9	","14911.7	","13275.8	","11797.8	","10314.1	"
"四川省	","	","64537.9	","61353.4	","57609.4	","55131.3	","49445.1	","47168.6	","43539.0	","38517.1	","33879.2	","30829.1	","29357.5	","26858.4	","24224.9	","21313.1	"
"贵州省	","	","22645.7	","21513.7	","20579.5	","19921.3	","18308.3	","17251.8	","15886.6	","14067.3	","12133.9	","10887.1	","9297.5	","8079.9	","6828.1	","5690.5	"
"云南省	","	","31423.4	","30595.8	","29301.1	","27895.3	","25214.5	","23902.1	","21427.5	","18864.6	","16773.6	","15358.6	","14275.1	","13027.0	","11266.3	","9666.2	"
"西藏自治区	","	","2789.1	","2532.9	","2235.4	","2145.1	","1956.5	","1750.3	","1583.5	","1381.0	","1197.4	","1063.6	","954.8	","840.3	","721.1	","620.8	"
"陕西省	","	","35437.1	","33976.5	","33035.6	","30476.6	","26297.0	","26214.5	","24354.8	","21776.1	","19354.6	","18188.3	","17635.6	","16106.3	","14311.5	","12320.1	"
"甘肃省	","	","13020.5	","12345.7	","11553.6	","10608.0	","9323.1	","9053.3	","8364.7	","7642.6	","7207.1	","6793.4	","6629.4	","6108.3	","5469.1	","4880.7	"
"青海省	","	","3965.5	","3849.2	","3677.4	","3446.3	","3080.6	","3020.2	","2799.9	","2517.0	","2310.7	","2054.3	","1875.1	","1736.1	","1547.9	","1388.3	"
"宁夏回族自治区	","	","5520.2	","5368.8	","5168.1	","4666.5	","4036.2	","3841.5	","3580.6	","3271.6	","2853.3	","2644.7	","2516.4	","2364.9	","2162.0	","1959.3	"
"新疆维吾尔自治区	","	","20492.4	","19603.3	","18550.5	","16791.5	","14262.2	","14024.9	","13110.1	","11460.8	","9913.9	","9545.7	","9400.2	","8518.4	","7499.5	","6607.6	"
注：1. 按照我国国民经济核算数据修订制度和国际通行做法，在第五次全国经济普查后，对1992年-2023年地区生产总值历史数据进行了系统修订。,,,,,,,,,,,,,,,
数据来源：国家统计局国家数据平台： https://data.stats.gov.cn,,,,,,,,,,,,,,,
