code,year,stknme,AnaAttention,Audittyp,InternationalBig4,Ysmvosd,Ysmvttl,Yretwd,PropertyRightsNature,Seperation,ActualControllerNatureID,OwnershipProportion,ControlProportion,Shrcr1,Shrhfd5,Shrz,FundHoldProportion,QFIIHoldProportion,BrokerHoldProportion,BankHoldProportion,NonFinanceHoldProportion,InsInvestorProp,StaffNumber,ConcurrentPosition,Boardsize2,ExecutivesNumber,IndDirector,SumSalary,TOP3SumSalary,Ynshrtrd,DirectorHoldshares,ManageHoldshares
4.0,2015,*ST 国华,,标准无保留意见,2.0,3807950.48,3854529.8,1.947977,0.0,9.0944,3110,20.7656,29.86,28.4182,0.096468,2.5072,7.5185,,,,,52.8885,208.0,1.0,9.0,2.0,3.0,1158800.0,919300.0,1018741715,1220300.0,1218000.0
4.0,2016,*ST 国华,,标准无保留意见,2.0,3724966.14,3770553.11,-0.021786,0.0,7.7302,3110,22.1298,29.86,28.4182,0.096865,2.5072,5.3911,,,,,51.0811,179.0,1.0,9.0,3.0,3.0,1035000.0,854100.0,298414633,1218000.0,1218000.0
4.0,2017,*ST 国华,,带有解释性说明的无保留意见,2.0,1856727.25,1879398.19,-0.501559,0.0,7.733,3110,22.137,29.87,28.4327,0.094558,2.8433,2.2291,,4.56,,,51.1561,172.0,1.0,9.0,4.0,3.0,1433400.0,1054100.0,322009630,1218000.0,1218000.0
4.0,2018,*ST 国华,,标准无保留意见,2.0,1330701.34,1346146.24,-0.283736,0.0,7.733,3110,22.267,30.0,28.4327,0.091452,4.4236,0.0827,,2.11,,3.57,45.6327,210.0,1.0,9.0,4.0,3.0,1528800.0,1099900.0,147104251,1324100.0,1324100.0
4.0,2019,*ST 国华,,标准无保留意见,2.0,1895768.25,1897033.29,0.409233,0.0,22.733,3110,22.267,45.0,28.4327,0.089003,4.4236,1.75,,,,,44.1,251.0,1.0,9.0,5.0,3.0,1190900.0,862400.0,249444933,8000.0,8000.0
4.0,2020,*ST 国华,,标准无保留意见,2.0,1737116.76,3416589.34,-0.083665,0.0,6.8294,"3110,3110",22.9006,29.73,14.4662,0.049763,1.4639,0.1641,,11.53,,,47.4332,264.0,1.0,8.0,5.0,3.0,1885900.0,1271500.0,1029667716,0.0,0.0
4.0,2021,*ST 国华,,保留意见,2.0,2259143.42,3029578.76,-0.061836,0.0,6.6483,"3110,3110",21.9117,28.56,15.3054,0.045271,1.7189,0.4011,,10.8016,,,43.7085,309.0,1.0,9.0,4.0,3.0,1808300.0,1479700.0,1126488239,0.0,0.0
4.0,2022,*ST 国华,,标准无保留意见,2.0,1126059.63,1285968.72,-0.501545,0.0,5.6803,"3110,3110",19.4297,25.11,18.2215,0.043335,2.1323,,,8.55,,,33.7,296.0,1.0,5.0,5.0,2.0,2273400.0,1492800.0,1035604238,0.0,0.0
4.0,2023,*ST 国华,,标准无保留意见,2.0,2037026.94,2135293.95,0.666322,0.0,5.6574,"3110,3110",19.1826,24.84,18.2858,0.039492,3.1317,0.0299,0.6008,6.4207,,,31.5814,298.0,1.0,5.0,5.0,2.0,2341500.0,1515500.0,2171765433,0.0,0.0
5.0,2000,ST 星源,,无保留意见加说明段,2.0,2658202.62,5037484.43,0.546106,,,,,,,,,0.0121,,,,,0.0121,530.0,1.0,11.0,9.0,0.0,,,1352395135,0.0,0.0
5.0,2001,ST 星源,,无保留意见加说明段,2.0,1933319.52,3663779.01,-0.271671,,,,,,,,,0.0974,,,,,0.0974,738.0,1.0,15.0,8.0,3.0,,,536422349,0.0,0.0
5.0,2002,ST 星源,,无保留意见加说明段,2.0,1705210.25,3231495.61,-0.117988,,,,,,,,,0.0423,,,,,0.0423,812.0,1.0,15.0,2.0,3.0,,,789212166,0.0,0.0
5.0,2003,ST 星源,,带有解释性说明的无保留意见,2.0,998445.48,1892125.72,-0.414474,0.0,,1230,,,34.5394,0.124617,5.5302,,,,,,46.67,798.0,1.0,15.0,5.0,3.0,,,668819136,0.0,0.0
5.0,2004,ST 星源,,带有解释性说明的无保留意见,2.0,822689.16,1559054.9,-0.17603,0.0,18.7376,1230,38.24,38.24,34.5394,0.124617,5.5302,,,,,,46.85,819.0,1.0,15.0,6.0,5.0,,0.0,860591491,0.0,0.0
5.0,2005,ST 星源,,带有解释性说明的无保留意见,2.0,613277.37,1162204.56,-0.254545,0.0,18.7376,1230,38.24,38.24,34.5394,0.124617,5.5302,,,,,,46.61,815.0,1.0,15.0,3.0,5.0,1224000.0,480000.0,916456256,0.0,0.0
5.0,2006,ST 星源,,带有解释性说明的无保留意见,2.0,1536229.86,2276690.68,1.505181,0.0,,"3110,3000,3000",,,19.7746,0.042805,4.5989,,,,,,31.88,885.0,1.0,15.0,3.0,5.0,1224000.0,480000.0,2014606244,57090.0,0.0
5.0,2007,ST 星源,,标准无保留意见,2.0,5180458.92,6500911.95,1.855422,0.0,0.0,"3110,3000,3000",20.14,20.14,20.1386,0.042688,4.797,,,,,,27.1,681.0,0.0,15.0,4.0,5.0,1774200.0,649100.0,4299992521,0.0,0.0
5.0,2008,ST 星源,,标准无保留意见,2.0,1809166.35,2267547.35,-0.651195,0.0,0.0,"3110,3000,3000",20.14,20.14,20.1502,0.042062,5.5302,,,,,,25.674,684.0,0.0,15.0,4.0,5.0,3155000.0,1113000.0,2863176567,0.0,0.0
5.0,2009,ST 星源,,带有解释性说明的无保留意见,2.0,5500732.9,5504288.31,1.427419,0.0,0.0,"3110,3000,3000",20.14,20.14,20.1502,0.042048,5.5302,0.6276,,,,,26.2876,712.0,0.0,15.0,4.0,5.0,3184000.0,1123000.0,8447088964,0.0,0.0
5.0,2010,ST 星源,,保留意见,2.0,3353436.84,3355604.34,-0.390365,0.0,0.0,"3110,3000,3000",20.15,20.15,20.1502,0.042188,5.5302,0.543,,,,,27.153,671.0,0.0,15.0,5.0,5.0,3169000.0,1149000.0,4429380717,0.0,0.0
5.0,2011,ST 星源,,带有解释性说明的无保留意见,2.0,3527048.01,3529327.72,0.051771,0.0,0.0,"3110,3000,3000",20.15,20.15,20.1502,0.042522,5.5302,0.6303,,,,,26.0003,501.0,0.0,15.0,5.0,5.0,3328000.0,1125000.0,806648447,0.0,0.0
5.0,2012,ST 星源,,带有解释性说明的无保留意见,2.0,2713816.73,2715570.81,-0.23057,0.0,0.0,"3110,3000,3000",20.15,20.15,20.1502,0.042539,5.5302,,,,,,25.36,382.0,0.0,15.0,6.0,5.0,3115000.0,1114000.0,1371813623,0.0,0.0
5.0,2013,ST 星源,,带有解释性说明的无保留意见,2.0,2284357.52,2285834.02,-0.158249,0.0,0.0,"3110,3000,3000",20.15,20.15,20.1502,0.042651,5.5302,,,,,,25.4,376.0,0.0,15.0,5.0,5.0,2871000.0,1114000.0,2032245022,0.0,0.0
5.0,2014,ST 星源,,带有解释性说明的无保留意见,2.0,3746346.33,3748767.79,0.64,0.0,0.0,"3110,3000",20.15,20.15,20.1502,0.042026,5.5302,0.0,,,,,24.89,421.0,0.0,15.0,5.0,5.0,2671000.0,1114000.0,5349018459,0.0,0.0
5.0,2015,ST 星源,,带有解释性说明的无保留意见,2.0,9173979.79,10627709.89,1.448781,0.0,0.0,"3110,3120",17.41,17.41,17.4052,0.032412,6.0487,0.4107,,,,,26.4807,535.0,0.0,15.0,5.0,5.0,2832000.0,1114000.0,9165599229,0.0,0.0
5.0,2016,ST 星源,1.098612,带有解释性说明的无保留意见,2.0,6176902.73,7155709.05,-0.326693,0.0,0.0,"3110,3120",20.29,20.29,17.4052,0.032623,6.0487,0.6273,,,,,28.2324,618.0,0.0,15.0,5.0,5.0,3778100.0,1283100.0,5070025078,0.0,0.0
5.0,2017,ST 星源,,带有解释性说明的无保留意见,2.0,3938060.98,4382342.53,-0.387574,0.0,0.0,"3110,3120",21.15,21.15,17.4052,0.032804,4.6488,0.0054,,,,,27.1914,705.0,0.0,15.0,5.0,5.0,4741000.0,1572000.0,2039809926,0.0,0.0
5.0,2018,ST 星源,,带有解释性说明的无保留意见,2.0,2549276.19,2836878.74,-0.352657,0.0,0.0,"3110,3120",21.94,21.94,17.4052,0.033194,3.8427,0.0012,,,,,24.1712,745.0,0.0,14.0,5.0,5.0,4788000.0,1572000.0,1703907017,0.0,0.0
