code,listing_year,industry
000859,1998,C
000860,1998,A
000861,1998,C
000862,1998,C
000863,1997,G
000866,1998,C
000868,1997,C
000869,1997,C
000875,2002,D
000876,1998,C
000877,1999,C
000878,1998,C
000880,1998,C
000881,1998,M
000882,1998,H
000883,1998,C
000885,1999,C
000886,1998,F
000887,1998,C
000888,1997,K
000889,1997,H
000890,1999,C
000892,1999,G
000893,1998,C
000895,1998,C
000897,1999,K
000898,1997,C
000899,1997,D
000900,1999,F
000901,1999,C
000902,1999,C
000903,1999,C
000905,1999,F
000906,1999,H
000908,1999,C
000909,1999,G
000910,1999,C
000911,1999,C
000912,1999,C
000913,1999,C
000915,1999,M
000916,1999,F
000917,1999,L
000918,1999,A
000919,1999,C
000920,1999,C
000921,1996,C
000922,1999,C
000923,1999,C
000925,1999,C
000926,1999,C
000927,1999,C
000928,1999,C
000929,1999,C
000930,1999,C
000931,1999,K
000932,1999,C
000933,1999,C
000935,1999,C
000936,1999,C
000937,1999,B
000938,1999,G
000939,1999,D
000948,1999,G
000949,1999,C
000950,1999,C
000951,1999,C
000952,1999,C
000953,1999,C
000955,1999,C
000956,1999,B
000957,2000,C
000958,1999,D
000959,1999,C
000960,2000,C
000961,2000,C
000962,2000,C
000963,2000,C
000965,2000,J
000966,2000,D
000967,2000,C
000968,2000,B
000969,2000,C
000970,2000,C
000971,2000,C
000972,2000,A
000973,2000,C
000975,2000,K
000976,2000,C
000977,2000,G
000978,2000,K
000979,2000,C
000980,2000,C
000981,2000,G
000982,2000,C
000983,2000,B
000985,2000,C
000987,2000,H
000988,2000,C
000989,2000,C
000990,2000,C
000993,2000,D
000995,2000,C
000996,2000,M
000997,2000,G
000998,2000,A
000999,2000,C
001201,2021,A
001202,2021,G
001203,2021,B
001205,2021,G
001206,2021,C
001207,2021,C
001208,2021,C
001209,2021,C
001210,2021,D
001211,2021,C
001212,2021,C
001213,2021,G
001215,2021,C
001216,2021,C
001217,2021,C
001218,2021,C
001219,2021,C
001222,2022,C
001223,2022,C
001225,2023,C
001226,2022,C
001227,2022,J
001228,2022,L
001229,2022,C
001230,2022,N
001231,2022,C
001234,2022,C
001236,2015,J
001238,2022,C
001239,2023,C
001255,2022,C
001256,2022,C
001258,2022,D
001259,2022,C
001260,2023,C
001266,2022,C
001267,2021,E
001268,2022,C
001269,2022,C
001270,2022,C
001277,2024,C
001278,2023,C
001282,2023,C
001283,2022,C
001286,2023,D
001287,2023,F
001288,2021,C
001289,2009,D
001296,2021,C
001298,2022,F
001299,2022,D
001300,2022,C
001301,2022,C
001306,2023,C
001308,2022,C
001309,2022,C
001311,2023,C
001313,2022,C
001314,2023,C
001316,2022,F
001317,2021,G
001318,2022,C
001319,2022,C
001322,2022,C
001323,2022,C
001324,2023,C
001326,2023,C
001328,2023,C
001330,2022,R
001331,2022,D
001332,2022,C
001333,2022,C
001336,2022,C
001337,2023,B
001338,2022,C
001339,2022,C
001358,2023,C
001359,2024,C
001360,2023,C
001366,2023,C
001367,2023,C
001368,2023,C
001373,2023,C
001376,2023,D
001378,2023,C
001379,2024,C
001380,2023,C
001387,2024,C
001389,2024,C
001391,2024,G
001696,1997,C
001872,1993,G
001896,1998,D
001914,1994,K
001965,2017,G
001979,2015,K
002001,2004,C
002002,2004,C
002003,2004,C
002004,2004,C
002005,2004,C
002006,2004,C
002007,2004,C
002008,2004,C
002009,2004,C
002010,2004,C
002011,2004,C
002012,2004,C
002013,2004,C
002014,2004,C
002015,2004,C
002016,2004,C
002017,2004,C
002018,2004,C
002019,2004,C
002020,2004,C
002021,2004,C
002022,2004,C
002023,2004,F
002024,2004,H
002025,2004,C
002026,2004,C
002027,2004,G
002028,2004,C
002029,2004,C
002030,2004,C
002031,2004,C
002032,2004,C
002033,2004,K
002034,2004,C
002035,2004,C
002036,2004,C
002037,2004,C
002038,2004,C
002039,2005,D
002040,2005,F
002041,2005,A
002042,2005,C
002043,2005,C
002044,2005,C
002045,2005,C
002046,2005,C
002047,2005,C
002048,2005,C
002049,2005,C
002050,2005,C
002051,2006,E
002052,2006,G
002053,2006,C
002054,2006,C
002055,2006,C
002056,2006,C
002057,2006,C
002058,2006,C
002059,2006,K
002060,2006,E
002061,2006,C
002062,2006,E
002063,2006,G
002064,2006,C
002065,2006,G
002066,2006,C
002067,2006,C
002068,2006,C
002069,2006,A
002070,2006,C
002071,2006,C
002072,2006,C
002073,2006,C
002074,2006,C
002075,2006,C
002076,2006,C
002077,2006,M
002078,2006,C
002079,2006,C
002080,2006,C
002081,2006,E
002082,2006,C
002083,2006,C
002084,2006,C
002085,2006,C
002086,2006,A
002087,2006,C
002088,2006,C
002089,2006,G
002090,2006,G
002091,2006,H
002092,2006,C
002093,2006,G
002094,2006,C
002095,2006,G
002096,2006,C
002097,2006,C
002098,2006,C
002099,2006,C
002100,2006,C
002101,2006,C
002102,2006,C
002103,2007,C
002104,2007,C
002105,2007,C
002106,2007,C
002107,2007,C
002108,2007,C
002109,2007,C
002110,2007,C
002111,2007,C
002112,2007,C
002113,2007,C
002114,2007,C
002115,2007,G
002116,2007,K
002117,2007,C
002118,2007,C
002119,2007,C
002120,2007,C
002121,2007,C
002122,2007,C
002123,2007,C
002124,2007,C
002125,2007,C
002126,2007,C
002127,2007,C
002128,2007,B
002129,2007,C
002130,2007,C
002131,2007,C
002132,2007,C
002133,2007,J
002134,2007,C
002135,2007,E
002136,2007,C
002137,2007,C
002138,2007,C
002139,2007,C
002140,2007,K
002141,2007,C
002142,2007,I
002143,2007,C
002144,2007,C
002145,2007,C
002146,2007,J
002147,2007,C
002148,2007,G
002149,2007,C
002150,2007,C
002151,2007,G
002152,2007,C
002153,2007,G
002154,2007,C
002155,2007,B
002156,2007,C
002157,2007,C
002158,2007,C
002159,2007,K
002160,2007,C
002161,2007,G
002162,2007,C
002163,2007,E
002164,2007,C
002165,2007,C
002166,2007,C
002167,2007,C
002168,2007,C
002169,2007,C
002170,2007,C
002171,2007,C
002172,2007,C
002173,2007,C
002174,2007,C
002175,2007,C
002176,2007,C
002177,2007,C
002178,2007,K
002179,2007,C
002180,2007,C
002181,2007,L
002182,2007,C
002183,2007,K
002184,2007,G
002185,2007,C
002186,2007,K
002187,2007,H
002188,2007,C
002189,2007,C
002190,2007,C
002191,2007,C
002192,2007,C
002193,2007,C
002194,2007,G
002195,2007,G
002196,2007,C
002197,2007,C
002198,2007,C
002199,2007,C
002200,2007,K
002201,2007,C
002202,2007,C
002203,2008,C
002204,2008,C
002205,2008,C
002206,2008,C
002207,2008,B
002208,2008,J
002209,2008,C
002210,2008,K
002211,2008,C
002212,2008,C
002213,2008,C
002214,2008,C
002215,2008,C
002216,2008,C
002217,2008,C
002218,2008,C
002219,2008,C
002220,2008,C
002221,2008,H
002222,2008,C
002223,2008,C
002224,2008,C
002225,2008,C
002226,2008,C
