code,listing_year
1.0,1991
2.0,1991
3.0,1991
4.0,1991
5.0,1990
6.0,1992
7.0,1992
8.0,1992
9.0,1991
10.0,1995
11.0,1992
12.0,1992
13.0,1992
14.0,1992
15.0,1992
16.0,1992
17.0,1992
18.0,1992
19.0,1992
20.0,1992
21.0,1994
22.0,1993
23.0,1993
24.0,1993
25.0,1993
26.0,1993
27.0,1993
28.0,1993
29.0,1993
30.0,1993
31.0,1993
32.0,1993
33.0,1994
34.0,1994
35.0,1994
36.0,1994
37.0,1994
38.0,1994
39.0,1994
40.0,1994
42.0,1994
43.0,1994
45.0,1994
46.0,1994
47.0,1994
48.0,1994
49.0,1995
50.0,1995
55.0,1995
56.0,1995
58.0,1996
59.0,1997
60.0,1997
61.0,1997
62.0,1997
63.0,1997
65.0,1998
66.0,1997
68.0,1997
69.0,1997
70.0,2000
78.0,1998
88.0,1997
89.0,1998
90.0,1999
96.0,2000
99.0,2000
100.0,2004
150.0,2000
151.0,2000
153.0,2000
155.0,2000
156.0,2000
157.0,2000
158.0,2000
159.0,2000
166.0,2015
301.0,2000
333.0,2013
338.0,2004
400.0,1997
401.0,1996
402.0,1996
403.0,1996
404.0,1996
405.0,1996
406.0,1996
407.0,1996
408.0,1996
409.0,1996
410.0,1996
411.0,1996
412.0,1996
413.0,1996
415.0,1996
416.0,1996
417.0,1996
418.0,1996
419.0,1996
420.0,1996
421.0,1996
422.0,1996
423.0,1996
425.0,1996
426.0,1996
428.0,1996
429.0,1996
430.0,1996
488.0,1997
498.0,1997
501.0,1992
502.0,1992
503.0,1992
504.0,1992
505.0,1992
506.0,1993
507.0,1993
509.0,1993
510.0,1993
511.0,1993
513.0,1993
514.0,1993
515.0,1993
516.0,1993
517.0,1993
518.0,1993
519.0,1993
520.0,1993
521.0,1993
522.0,1993
523.0,1993
524.0,1993
525.0,1993
526.0,1993
527.0,1993
528.0,1993
529.0,1993
530.0,1993
531.0,1994
532.0,1994
533.0,1994
534.0,1994
535.0,1993
536.0,1993
537.0,1993
538.0,1993
539.0,1993
540.0,1994
541.0,1993
542.0,1993
543.0,1993
544.0,1993
545.0,1993
546.0,1993
547.0,1993
548.0,1993
549.0,1993
550.0,1993
551.0,1994
552.0,1994
553.0,1993
554.0,1993
555.0,1994
556.0,1994
557.0,1994
558.0,1994
559.0,1994
560.0,1994
561.0,1994
562.0,1994
563.0,1994
564.0,1994
565.0,1994
566.0,1994
567.0,1994
568.0,1994
569.0,1994
570.0,1994
571.0,1994
572.0,1994
573.0,1994
576.0,1994
578.0,1995
581.0,1995
582.0,1995
583.0,1995
584.0,1995
585.0,1995
586.0,1995
587.0,1996
588.0,1996
589.0,1996
590.0,1996
591.0,1996
592.0,1996
593.0,1996
594.0,1996
595.0,1996
596.0,1996
597.0,1996
598.0,1996
599.0,1996
600.0,1996
601.0,1996
602.0,1996
603.0,1996
605.0,1996
606.0,1996
607.0,1996
608.0,1996
609.0,1996
610.0,1996
611.0,1996
612.0,1996
613.0,1996
615.0,1996
616.0,1996
617.0,1996
618.0,1995
619.0,1996
620.0,1996
621.0,1996
622.0,1996
623.0,1996
625.0,1996
626.0,1996
627.0,1996
628.0,1996
629.0,1996
630.0,1996
631.0,1996
632.0,1996
633.0,1996
635.0,1996
636.0,1996
637.0,1996
638.0,1996
639.0,1996
650.0,1996
651.0,1996
652.0,1996
653.0,1996
655.0,1996
656.0,1996
657.0,1996
658.0,1996
659.0,1996
660.0,1996
661.0,1996
662.0,1996
663.0,1996
665.0,1996
666.0,1996
667.0,1996
668.0,1996
669.0,1996
670.0,1996
671.0,1996
672.0,1996
673.0,1997
675.0,1996
676.0,1996
677.0,1996
678.0,1997
679.0,1997
680.0,1997
681.0,1997
682.0,1997
683.0,1997
685.0,1997
686.0,1997
687.0,1997
688.0,1997
689.0,1996
690.0,1997
691.0,1997
692.0,1997
693.0,1997
695.0,1997
697.0,1997
698.0,1997
699.0,1997
700.0,1997
701.0,1997
702.0,1997
703.0,1997
705.0,1997
707.0,1997
708.0,1997
709.0,1997
710.0,1997
711.0,1997
712.0,1997
713.0,1997
715.0,1997
716.0,1997
717.0,1997
718.0,1997
719.0,1997
720.0,1997
721.0,1997
722.0,1997
723.0,1997
725.0,1997
726.0,1997
727.0,1997
728.0,1997
729.0,1997
730.0,1997
731.0,1997
732.0,1997
733.0,1997
735.0,1997
736.0,1997
737.0,1997
738.0,1997
739.0,1997
748.0,1997
750.0,1997
751.0,1997
752.0,1997
753.0,1997
755.0,1997
756.0,1996
757.0,1997
758.0,1997
759.0,1997
760.0,1997
761.0,1997
762.0,1997
763.0,1997
765.0,1997
766.0,1997
767.0,1997
768.0,1997
769.0,1997
776.0,1997
777.0,1997
778.0,1997
779.0,1997
780.0,1997
782.0,1997
783.0,1997
785.0,1997
786.0,1997
787.0,1997
788.0,1997
789.0,1997
790.0,1998
791.0,1997
792.0,1997
793.0,1997
795.0,1997
796.0,1997
797.0,1997
798.0,1998
799.0,1997
800.0,1997
801.0,1998
802.0,1998
803.0,1998
805.0,1998
806.0,1998
807.0,1998
809.0,1998
810.0,1998
811.0,1998
812.0,1998
813.0,1998
815.0,1998
816.0,1997
817.0,1998
818.0,1997
819.0,1997
820.0,1998
821.0,1998
822.0,1998
823.0,1997
825.0,1998
826.0,1998
827.0,1998
828.0,1997
829.0,1997
830.0,1998
831.0,1998
832.0,1998
833.0,1998
835.0,1999
836.0,1997
837.0,1998
838.0,1997
839.0,1997
848.0,1997
850.0,1998
851.0,1998
852.0,1998
856.0,1998
858.0,1998
859.0,1998
860.0,1998
861.0,1998
862.0,1998
863.0,1997
866.0,1998
868.0,1997
869.0,1997
875.0,2002
876.0,1998
877.0,1999
878.0,1998
880.0,1998
881.0,1998
882.0,1998
883.0,1998
885.0,1999
886.0,1998
887.0,1998
888.0,1997
889.0,1997
890.0,1999
892.0,1999
893.0,1998
895.0,1998
897.0,1999
898.0,1997
899.0,1997
900.0,1999
901.0,1999
902.0,1999
903.0,1999
905.0,1999
906.0,1999
908.0,1999
909.0,1999
910.0,1999
911.0,1999
912.0,1999
913.0,1999
915.0,1999
916.0,1999
917.0,1999
918.0,1999
919.0,1999
920.0,1999
921.0,1996
922.0,1999
923.0,1999
925.0,1999
926.0,1999
927.0,1999
928.0,1999
929.0,1999
930.0,1999
931.0,1999
932.0,1999
933.0,1999
935.0,1999
936.0,1999
937.0,1999
938.0,1999
939.0,1999
948.0,1999
949.0,1999
950.0,1999
951.0,1999
952.0,1999
953.0,1999
955.0,1999
956.0,1999
957.0,2000
958.0,1999
959.0,1999
960.0,2000
961.0,2000
962.0,2000
963.0,2000
965.0,2000
966.0,2000
967.0,2000
968.0,2000
969.0,2000
970.0,2000
971.0,2000
972.0,2000
973.0,2000
975.0,2000
976.0,2000
977.0,2000
978.0,2000
979.0,2000
980.0,2000
981.0,2000
982.0,2000
983.0,2000
985.0,2000
987.0,2000
988.0,2000
989.0,2000
990.0,2000
993.0,2000
995.0,2000
996.0,2000
997.0,2000
998.0,2000
999.0,2000
1201.0,2021
1202.0,2021
1203.0,2021
1205.0,2021
1206.0,2021
1207.0,2021
1208.0,2021
1209.0,2021
1210.0,2021
1211.0,2021
1212.0,2021
1213.0,2021
1215.0,2021
1216.0,2021
1217.0,2021
1218.0,2021
1219.0,2021
1222.0,2022
1223.0,2022
1225.0,2023
1226.0,2022
1227.0,2022
1228.0,2022
1229.0,2022
1230.0,2022
1231.0,2022
1234.0,2022
