code,year,Shrcr1,Shrhfd5
000010,2021,14.5655,0.030466
000010,2022,33.8393,0.119838
000010,2023,29.8495,0.093309
000011,2000,,
000011,2001,,
000011,2002,,
000011,2003,59.7542,0.368014
000011,2004,59.7542,0.368015
000011,2005,59.7542,0.368014
000011,2006,59.7542,0.368022
000011,2007,59.7542,0.368181
000011,2008,59.7542,0.368108
000011,2009,54.2231,0.303172
000011,2010,54.2231,0.30309
000011,2011,54.3148,0.304137
000011,2012,54.328,0.304198
000011,2013,54.3301,0.304212
000011,2014,54.3301,0.30421
000011,2015,54.3301,0.304212
000011,2016,54.3301,0.304275
000011,2017,54.3301,0.304275
000011,2018,63.8242,0.407375
000011,2019,63.8242,0.407375
000011,2020,56.9571,0.326937
000011,2021,50.5747,0.261457
000011,2022,50.5747,0.260636
000011,2023,50.5747,0.260662
000012,2000,,
000012,2001,,
000012,2002,,
000012,2003,12.984,0.046452
000012,2004,12.984,0.048674
000012,2005,12.984,0.048477
000012,2006,11.1532,0.036062
000012,2007,6.7426,0.019139
000012,2008,6.4667,0.016646
000012,2009,6.5373,0.013454
000012,2010,3.6919,0.005478
000012,2011,3.6211,0.003542
000012,2012,3.622,0.003601
000012,2013,3.622,0.003281
000012,2014,3.622,0.003
000012,2015,11.0803,0.016332
000012,2016,15.4479,0.027054
000012,2017,14.8415,0.024972
000012,2018,14.8078,0.024858
000012,2019,15.0051,0.025525
000012,2020,15.1883,0.02655
000012,2021,15.1883,0.026536
000012,2022,15.1883,0.025328
000012,2023,15.1883,0.025734
000013,2000,,
000013,2001,,
000013,2002,,
000013,2003,54.2422,0.304333
000013,2004,,
000014,2000,,
000014,2001,,
000014,2002,,
000014,2003,28.8,0.099584
000014,2004,28.8,0.099584
000014,2005,28.8,0.099584
000014,2006,32.0227,0.10331
000014,2007,32.0227,0.103342
000014,2008,32.0227,0.105254
000014,2009,32.0227,0.1044
000014,2010,32.0227,0.103639
000014,2011,32.0227,0.103392
000014,2012,32.0227,0.103464
000014,2013,32.0227,0.107095
000014,2014,32.0227,0.102898
000014,2015,32.0227,0.116098
000014,2016,32.8717,0.122373
000014,2017,34.0167,0.120933
000014,2018,34.0167,0.115976
000014,2019,34.0167,0.116038
000014,2020,34.0167,0.11637
000014,2021,34.0167,0.116734
000014,2022,34.0167,0.11603
000014,2023,34.0167,0.11609
000015,2000,,
000015,2001,,
000016,2000,,
000016,2001,,
000016,2002,,
000016,2003,29.0621,0.103073
000016,2004,29.0621,0.096546
000016,2005,15.1083,0.042069
000016,2006,8.7033,0.017665
000016,2007,8.7033,0.01779
000016,2008,16.6775,0.031454
000016,2009,19.0,0.038531
000016,2010,19.0,0.038723
000016,2011,19.0,0.039064
000016,2012,19.0,0.039084
000016,2013,19.0,0.039214
000016,2014,21.7508,0.049839
000016,2015,21.7508,0.054473
000016,2016,21.7508,0.054596
000016,2017,21.7508,0.054568
000016,2018,21.7508,0.05456
000016,2019,21.7508,0.05456
000016,2020,21.7508,0.054764
000016,2021,21.7508,0.056199
000016,2022,21.7508,0.05597
000016,2023,21.7508,0.054924
000017,2000,,
000017,2001,,
000017,2002,,
000017,2003,13.5782,0.040222
000017,2004,13.5782,0.039272
000017,2005,13.5782,0.032325
000017,2006,13.5782,0.031061
000017,2007,13.5782,0.031009
000017,2010,11.8071,0.023447
000017,2011,11.8071,0.020602
000017,2012,11.8071,0.020696
000017,2013,11.5188,0.018776
000017,2014,11.5188,0.016135
000017,2015,11.5188,0.014232
000017,2016,11.5188,0.014918
000017,2017,11.5188,0.015352
000017,2018,11.5188,0.014932
000017,2019,11.5188,0.014931
000017,2020,11.5188,0.015086
000017,2021,11.5188,0.015032
000017,2022,20.0,0.049576
000017,2023,20.0,0.049672
000018,2000,,
000018,2001,,
000018,2002,,
000018,2003,28.0,0.123596
000018,2004,28.0,0.123596
000018,2005,28.0,0.123596
000018,2006,25.5058,0.106341
000018,2007,25.5058,0.098078
000018,2008,25.5058,0.097306
000018,2009,25.5058,0.092936
000018,2010,25.5058,0.091784
000018,2011,25.5058,0.091652
000018,2012,25.5058,0.091449
000018,2013,25.5058,0.089059
000018,2014,25.5058,0.08912
000018,2015,34.2659,0.132791
000018,2016,34.3263,0.125175
000018,2017,34.3563,0.125381
000018,2018,34.3563,0.12533
000018,2019,,
000018,2020,,
000019,2000,,
000019,2001,,
000019,2002,,
000019,2003,33.997,0.203659
000019,2004,33.997,0.203663
000019,2005,33.997,0.203687
000019,2006,29.5418,0.153829
000019,2007,29.5418,0.154072
000019,2008,29.5418,0.154058
000019,2009,27.8383,0.129796
000019,2010,26.3271,0.118647
000019,2011,19.0893,0.076906
000019,2012,19.0893,0.07385
000019,2013,19.0893,0.068619
000019,2014,19.0893,0.067643
000019,2015,19.0893,0.063627
000019,2016,19.0893,0.062128
000019,2017,19.0893,0.062114
000019,2018,63.793,0.413743
000019,2019,63.793,0.413745
000019,2020,63.793,0.413781
000019,2021,63.793,0.41378
000019,2022,63.793,0.413816
000019,2023,63.793,0.413828
000020,2000,,
000020,2001,,
000020,2002,,
000020,2003,22.0591,0.103323
000020,2004,22.0591,0.103323
000020,2005,22.0591,0.103302
000020,2006,22.0591,0.103195
000020,2007,41.1391,0.175123
000020,2008,41.1391,0.175106
000020,2009,41.1391,0.175179
000020,2010,41.1391,0.17511
000020,2011,41.1391,0.175107
000020,2012,41.1391,0.175124
000020,2013,41.1391,0.175098
000020,2014,41.1391,0.175093
000020,2015,41.1391,0.17522
000020,2016,41.1391,0.175071
000020,2017,41.1391,0.175076
000020,2018,41.2066,0.175776
000020,2019,42.1279,0.183382
000020,2020,42.1279,0.182068
000020,2021,42.1279,0.182068
000020,2022,42.1279,0.182068
000020,2023,42.1279,0.182546
000021,2000,,
000021,2001,,
000021,2002,,
000021,2003,55.9619,0.325479
000021,2004,55.9619,0.325511
000021,2005,55.9619,0.325514
000021,2006,49.539,0.255159
000021,2007,49.6362,0.253445
000021,2008,49.6362,0.253429
000021,2009,49.6362,0.253344
000021,2010,49.6362,0.253387
000021,2011,49.6362,0.253014
000021,2012,49.6362,0.253032
000021,2013,44.5088,0.204717
000021,2014,44.5088,0.203983
000021,2015,44.5088,0.20395
000021,2016,44.5088,0.203743
000021,2017,44.5088,0.203639
000021,2018,44.5088,0.203659
000021,2019,43.5088,0.194907
000021,2020,36.6053,0.140471
000021,2021,34.51,0.124198
000021,2022,34.51,0.123911
000021,2023,34.51,0.122581
000022,2000,,
000022,2001,,
000022,2002,,
000022,2003,58.8362,0.347037
000022,2004,58.8362,0.347393
000022,2005,58.8362,0.347146
000022,2006,57.5099,0.332219
000022,2007,57.5099,0.333399
000022,2008,57.5099,0.33441
000022,2009,57.5099,0.340119
000022,2010,57.5099,0.341085
000022,2011,57.5215,0.342946
000022,2012,57.5215,0.343864
000022,2013,32.5215,0.181191
000022,2014,32.5215,0.181176
000022,2015,32.5215,0.181176
000022,2016,32.5215,0.181165
000022,2017,32.5215,0.181363
000022,2018,,
000023,2000,,
000023,2001,,
000023,2002,,
000023,2003,39.9982,0.231351
000023,2004,39.9982,0.231353
000023,2005,39.9982,0.231353
000023,2006,33.8107,0.165327
000023,2007,33.8107,0.16106
000023,2008,33.8107,0.156973
000023,2009,33.8107,0.139056
000023,2010,31.3058,0.119296
000023,2011,31.4355,0.120059
000023,2012,29.99,0.111214
000023,2013,30.129,0.106232
000023,2014,30.129,0.107347
000023,2015,15.1345,0.056923
000023,2016,15.1345,0.057676
000023,2017,15.1345,0.043229
000023,2018,15.1345,0.043216
000023,2019,27.3862,0.085015
000023,2020,27.3862,0.091956
000023,2021,27.3862,0.094342
000023,2022,27.3862,0.082096
000023,2023,27.3862,0.081516
000024,2000,,
000024,2001,,
000024,2002,,
000024,2003,30.4268,0.104737
000024,2004,30.4268,0.105616
000024,2005,30.4268,0.105496
000024,2006,23.8238,0.071065
000024,2007,35.6623,0.134887
000024,2008,40.3784,0.167676
000024,2009,40.3784,0.167658
000024,2010,40.3784,0.167635
000024,2011,40.3784,0.167486
000024,2012,40.3784,0.167387
000024,2013,40.3784,0.167392
000024,2014,40.3784,0.1674
000024,2015,,
000025,2000,,
000025,2001,,
000025,2002,,
000025,2003,72.4473,0.524868
000025,2004,72.4473,0.524871
000025,2005,72.4473,0.524871
000025,2006,66.22,0.438517
000025,2007,66.22,0.438598
000025,2008,66.22,0.438544
000025,2009,66.22,0.438563
000025,2010,66.22,0.438526
000025,2011,66.22,0.438597
000025,2012,66.22,0.438534
000025,2013,66.22,0.438744
000025,2014,66.22,0.438619
000025,2015,51.0864,0.318049
000025,2016,49.0865,0.298186
000025,2017,49.0865,0.298015
000025,2018,49.0865,0.288788
000025,2019,49.0865,0.272967
000025,2020,49.0865,0.262784
000025,2021,49.0865,0.25758
000025,2022,47.5107,0.23301
000025,2023,48.8082,0.240902
000026,2000,,
000026,2001,,
000026,2002,,
000026,2003,52.2417,0.272934
000026,2004,52.2417,0.272938
000026,2005,52.2417,0.272957
000026,2006,52.2417,0.275913
000026,2007,44.6881,0.20035
000026,2008,44.6881,0.200199
000026,2009,44.6881,0.200906
000026,2010,41.4946,0.174051
000026,2011,41.4946,0.175227
000026,2012,41.4946,0.173616
000026,2013,41.4946,0.173166
000026,2014,41.4946,0.172521
000026,2015,41.4946,0.172377
000026,2016,37.1463,0.139025
000026,2017,37.1463,0.139444
000026,2018,37.1463,0.141701
000026,2019,36.792,0.136558
000026,2020,38.0706,0.145531
000026,2021,38.253,0.146845
000026,2022,39.0245,0.154346
000026,2023,39.2508,0.156302
000027,2000,,
000027,2001,,
000027,2002,,
000027,2003,55.2833,0.306058
000027,2004,55.2833,0.305986
000027,2005,55.2833,0.30602
000027,2006,50.1949,0.252755
000027,2007,63.74,0.414567
000027,2008,63.74,0.41465
000027,2009,63.74,0.414566
000027,2010,63.74,0.414559
000027,2011,63.74,0.414585
000027,2012,63.74,0.414589
000027,2013,47.8246,0.291319
000027,2014,47.8246,0.291337
000027,2015,47.8246,0.291802
000027,2016,47.8246,0.291802
000027,2017,47.8246,0.291818
000027,2018,47.8246,0.291989
000027,2019,47.8246,0.291989
000027,2020,43.9076,0.257953
000027,2021,43.9076,0.256954
000027,2022,43.9076,0.257821
000027,2023,43.9076,0.257912
000028,2000,,
000028,2001,,
000028,2002,,
000028,2003,43.3333,0.198945
000028,2004,43.3333,0.198945
000028,2005,43.3333,0.198945
000028,2006,39.1416,0.162401
000028,2007,39.1416,0.155294
000028,2008,39.1416,0.155998
000028,2009,38.3342,0.148999
000028,2010,38.3342,0.149449
000028,2011,38.3342,0.151283
000028,2012,38.3342,0.149373
000028,2013,38.3342,0.149817
000028,2014,51.0,0.261512
000028,2015,51.0,0.261857
000028,2016,51.0,0.261102
000028,2017,56.0581,0.315299
000028,2018,56.0581,0.31556
000028,2019,56.0581,0.31788
000028,2020,56.0581,0.316239
000028,2021,56.0581,0.315635
000028,2022,56.0581,0.315775
000028,2023,56.0581,0.315184
000029,2000,,
000029,2001,,
000029,2002,,
000029,2003,73.5247,0.540591
000029,2004,73.5247,0.540594
000029,2005,73.5247,0.54059
000029,2006,66.5102,0.442364
000029,2007,64.8242,0.42023
000029,2008,64.8242,0.420219
000029,2009,63.5475,0.403842
000029,2010,63.5475,0.403842
000029,2011,63.5475,0.403835
000029,2012,63.5475,0.403859
000029,2013,63.5475,0.403837
000029,2014,63.5475,0.404606
000029,2015,63.5475,0.403909
000029,2016,63.5475,0.403945
000029,2020,63.5475,0.403835
000029,2021,57.1927,0.331182
000029,2022,55.7849,0.31536
000029,2023,55.7849,0.315397
000030,2000,,
000030,2001,,
000030,2002,,
000030,2003,66.3616,0.441423
000030,2004,66.3616,0.44136
000030,2005,66.3616,0.441346
000030,2006,66.3616,0.441354
000030,2007,66.3616,0.441328
000030,2008,59.8239,0.358713
000030,2009,59.8239,0.358713
000030,2010,59.8239,0.358467
000030,2011,23.8689,0.078186
000030,2012,22.5357,0.060386
000030,2013,24.3099,0.129844
000030,2014,24.3099,0.112917
000030,2015,24.4122,0.113353
000030,2016,24.4122,0.112511
000030,2017,24.4122,0.113683
000030,2018,24.4122,0.121794
000030,2019,24.4122,0.123195
000030,2020,24.4122,0.124093
000030,2021,24.4122,0.123002
000030,2022,24.4122,0.123002
000030,2023,25.3781,0.132928
000031,2000,,
000031,2001,,
000031,2002,,
000031,2003,59.6314,0.356947
000031,2004,59.6314,0.356969
000031,2005,59.6314,0.357081
000031,2006,50.5155,0.256991
000031,2007,50.6505,0.257062
000031,2008,50.6505,0.258343
000031,2009,50.6505,0.256672
000031,2010,50.6505,0.25779
000031,2011,50.6505,0.258586
000031,2012,50.6505,0.257107
000031,2013,50.6505,0.256792
000031,2014,50.6505,0.256779
000031,2015,45.6663,0.209919
000031,2016,45.6663,0.209911
000031,2017,45.6663,0.210032
000031,2018,47.2702,0.224988
000031,2019,53.8005,0.337743
000031,2020,49.2763,0.287755
000031,2021,49.2763,0.287503
000031,2022,49.2763,0.287474
000031,2023,49.2763,0.287451
000032,2000,,
000032,2001,,
000032,2002,,
000032,2003,56.5308,0.32239
000032,2004,56.5308,0.32238
000032,2005,56.5308,0.322376
000032,2006,46.0496,0.213927
000032,2007,42.2348,0.18008
000032,2008,42.2348,0.180103
000032,2009,42.2348,0.181172
000032,2010,42.0201,0.178429
000032,2011,42.0201,0.17869
000032,2012,42.0201,0.178477
000032,2013,42.0201,0.178733
000032,2014,42.0201,0.178517
000032,2015,49.1785,0.251062
000032,2016,49.1785,0.251146
000032,2017,49.1785,0.251225
000032,2018,49.0418,0.250364
000032,2019,49.0418,0.250542
000032,2020,49.0418,0.250363
000032,2021,17.7959,0.071093
000032,2022,17.8082,0.070506
000032,2023,17.8082,0.069999
000033,2000,,
000033,2001,,
000033,2002,,
000033,2003,22.9908,0.129328
000033,2004,22.9908,0.129288
000033,2005,22.9908,0.129208
000033,2006,20.0818,0.072933
000033,2007,20.0818,0.056424
000033,2008,20.0818,0.055801
000033,2009,15.1853,0.033925
000033,2010,13.8284,0.028417
000033,2011,13.8284,0.027006
000033,2012,13.8284,0.027006
000033,2013,13.8284,0.026358
000033,2014,13.8284,0.027158
000033,2015,13.8284,0.027158
000033,2017,,
000034,2000,,
000034,2001,,
000034,2002,,
000034,2003,47.9599,0.251245
000034,2004,47.9599,0.251245
000034,2005,47.9599,0.251245
000034,2006,47.9599,0.251245
000034,2007,47.9599,0.247981
000034,2008,25.6056,0.099602
000034,2009,25.6056,0.085402
000034,2010,21.8751,0.061188
000034,2011,21.8751,0.060187
000034,2012,21.8751,0.05893
000034,2013,21.8751,0.05893
000034,2014,21.8751,0.057369
000034,2015,21.8751,0.056873
000034,2016,23.6638,0.084526
000034,2017,23.6638,0.084526
000034,2018,23.6638,0.084526
000034,2019,23.6638,0.079425
000034,2020,23.4668,0.068945
000034,2021,23.4255,0.067818
000034,2022,23.1545,0.064375
000034,2023,23.1156,0.062097
000035,2000,,
000035,2001,,
000035,2002,,
000035,2003,29.0058,0.157558
000035,2004,29.0058,0.157558
000035,2005,29.0058,0.157558
000035,2006,29.0058,0.157558
000035,2007,22.4084,0.094035
000035,2008,22.4084,0.093796
000035,2009,22.4084,0.093597
000035,2010,22.4084,0.0939
000035,2011,22.4084,0.093319
000035,2013,6.6604,0.010888
000035,2014,21.2916,0.076102
000035,2015,21.2916,0.071477
000035,2016,32.2867,0.116122
000035,2017,29.5881,0.097522
000035,2018,29.8234,0.09892
000035,2019,16.2034,0.037675
000035,2020,16.2034,0.037675
000035,2021,16.2034,0.037585
000035,2022,15.2148,0.034319
000035,2023,14.5096,0.032222
000036,2000,,
000036,2001,,
000036,2002,,
000036,2003,40.1457,0.161609
000036,2004,40.1457,0.161862
000036,2005,40.1457,0.161546
000036,2006,31.2311,0.097594
000036,2007,31.2311,0.097719
000036,2008,31.3242,0.098282
000036,2009,31.3242,0.098211
000036,2010,31.3242,0.09826
000036,2011,31.3242,0.09816
000036,2012,31.3242,0.098149
000036,2013,31.3242,0.098147
000036,2014,31.3242,0.098161
000036,2015,31.241,0.097805
000036,2016,31.2109,0.097661
000036,2017,31.2136,0.098194
000036,2018,33.2136,0.111825
000036,2019,33.2136,0.111574
000036,2020,33.2136,0.110527
000036,2021,33.2136,0.110645
000036,2022,28.2136,0.082815
000036,2023,28.2136,0.0827
000037,2000,,
000037,2001,,
000037,2002,,
000037,2003,22.966,0.106693
000037,2004,22.966,0.106693
000037,2005,22.966,0.106693
000037,2006,21.6803,0.102544
000037,2007,21.6803,0.102655
000037,2008,21.6803,0.102655
000037,2009,18.6119,0.084815
000037,2010,17.668,0.076532
000037,2011,16.718,0.073265
000037,2012,16.718,0.072815
000037,2013,16.718,0.072637
000037,2014,16.718,0.065855
000037,2015,15.2835,0.049912
000037,2016,15.2835,0.050361
000037,2017,15.2835,0.050294
000037,2018,15.2835,0.050322
000037,2019,15.2835,0.050746
000037,2020,15.2835,0.050725
000037,2021,15.2835,0.050691
000037,2022,15.2835,0.050651
000037,2023,15.2835,0.050468
000038,2000,,
000038,2001,,
000038,2002,,
000038,2003,29.8389,0.152507
000038,2004,29.8389,0.152507
000038,2005,29.8389,0.152507
000038,2006,29.8389,0.152507
000038,2007,29.8389,0.152507
000038,2013,44.7906,0.215294
000038,2014,44.7906,0.215294
000038,2015,44.7906,0.2127
000038,2016,21.424,0.117441
000038,2017,21.424,0.116466
000038,2018,21.424,0.11407
000038,2019,21.424,0.108658
000038,2020,21.424,0.107355
000038,2021,21.424,0.107355
000038,2022,,
000038,2023,,
000039,2000,,
000039,2001,,
000039,2002,,
000039,2003,16.2324,0.057943
000039,2004,16.2324,0.058026
000039,2005,16.2324,0.057349
000039,2006,16.2324,0.057682
000039,2007,16.5458,0.058662
000039,2008,21.8034,0.079078
000039,2009,24.817,0.110063
000039,2010,25.0,0.093087
000039,2011,25.5382,0.095934
000039,2012,53.7291,0.315153
000039,2013,53.7287,0.3153
000039,2014,53.5211,0.312691
000039,2015,48.0326,0.262321
000039,2016,55.4397,0.336247
000039,2017,58.0155,0.358426
000039,2018,57.9989,0.358084
000039,2019,58.1175,0.359429
000039,2020,58.1998,0.350996
000039,2021,59.3102,0.362135
000039,2022,59.1719,0.360021
000039,2023,58.1379,0.347929
000040,2000,,
000040,2001,,
000040,2002,,
000040,2003,29.3639,0.087946
000040,2004,29.3639,0.087946
000040,2005,29.3639,0.087946
000040,2006,12.2631,0.027789
000040,2007,13.1668,0.022562
000040,2008,12.8012,0.034008
000040,2009,19.7963,0.068004
000040,2010,19.7963,0.061429
000040,2011,19.7963,0.061443
000040,2012,19.7963,0.061456
000040,2013,19.7963,0.06224
000040,2014,19.7963,0.064014
000040,2015,29.8768,0.09186
000040,2016,30.9812,0.106064
000040,2017,30.9812,0.105858
000040,2018,38.9867,0.157372
000040,2019,39.0363,0.153991
000040,2020,39.0363,0.153418
000040,2021,39.0363,0.153305
000040,2022,39.0363,0.153308
000040,2023,39.0363,0.153411
000042,2000,,
000042,2001,,
000042,2002,,
000042,2003,62.8001,0.401193
000042,2004,34.8001,0.171541
000042,2005,34.8001,0.17158
000042,2006,29.7496,0.137399
000042,2007,29.7496,0.137151
000042,2008,29.7496,0.137151
000042,2009,29.7496,0.137205
000042,2010,29.7496,0.137246
000042,2011,29.7496,0.139204
000042,2012,29.7496,0.140161
000042,2013,28.4877,0.124783
000042,2014,28.8317,0.122224
000042,2015,47.351,0.236665
000042,2016,47.368,0.23765
000042,2017,47.368,0.237508
000042,2018,49.3665,0.256996
000042,2019,49.7708,0.259699
000042,2020,52.6246,0.28977
000042,2021,33.0707,0.160913
000042,2022,52.6261,0.287562
000042,2023,52.6261,0.282375
000043,2000,,
000043,2001,,
000043,2002,,
000043,2003,32.8432,0.1311
000043,2004,32.8432,0.131101
000043,2005,32.8432,0.131101
000043,2006,29.1218,0.106228
000043,2007,22.3533,0.102518
000043,2008,22.3533,0.101334
000043,2009,22.3533,0.101519
000043,2010,22.3533,0.101242
000043,2011,22.3533,0.101663
000043,2012,22.3533,0.097874
000043,2013,22.3533,0.097886
000043,2014,22.3533,0.098851
000043,2015,22.3533,0.0978
000043,2016,22.3533,0.097853
000043,2017,22.3533,0.097812
000043,2018,22.3533,0.097788
000043,2019,,
000045,2000,,
000045,2001,,
000045,2002,,
000045,2003,66.2359,0.438736
000045,2004,66.2359,0.438736
000045,2005,66.2359,0.438746
000045,2006,60.6721,0.368137
000045,2007,60.6721,0.368138
000045,2008,60.6721,0.368148
000045,2009,59.1444,0.349887
000045,2010,54.2644,0.300126
000045,2011,54.2644,0.297462
000045,2012,54.2644,0.296791
000045,2013,46.2111,0.218771
000045,2014,46.2111,0.214967
000045,2015,46.2111,0.216277
000045,2016,46.2111,0.214798
000045,2017,45.7816,0.210758
000045,2018,45.7816,0.21072
000045,2019,45.9556,0.212311
000045,2020,46.0973,0.213601
000045,2021,46.2111,0.21483
000045,2022,46.2111,0.214797
000045,2023,46.2111,0.214807
000046,2000,,
000046,2001,,
000046,2002,,
000046,2003,48.1662,0.232733
000046,2004,48.1662,0.232062
000046,2005,28.1678,0.119364
000046,2006,61.0692,0.38254
000046,2007,61.0692,0.382902
000046,2008,74.1522,0.554353
000046,2009,60.432,0.388368
000046,2010,73.6654,0.547093
000046,2011,73.6654,0.544462
000046,2012,73.6654,0.544435
000046,2013,73.6654,0.544725
000046,2014,73.6654,0.544097
000046,2015,73.8197,0.547488
000046,2016,66.5877,0.445524
000046,2017,67.1515,0.45368
