province,year,gdp,gdp_growth
广东,2024,141488.9,2.598520435022844
江苏,2024,136696.9,4.409112746831556
山东,2024,98406.9,4.458826576538333
浙江,2024,90007.0,5.124293970072258
四川,2024,64537.9,5.190421394739331
河南,2024,63557.1,4.831784811233142
湖北,2024,59644.3,5.018109211663857
福建,2024,57476.6,4.881052960035914
上海,2024,53759.5,4.581310974720121
湖南,2024,53084.7,4.770711008042627
安徽,2024,50646.7,5.016225182727685
北京,2024,49670.2,4.891909185554666
河北,2024,47448.1,3.916119141480512
陕西,2024,35437.1,4.298853619413423
江西,2024,34227.9,4.745831178409343
辽宁,2024,32540.8,3.6667962204282922
重庆,2024,32046.7,4.678859225917309
云南,2024,31423.4,2.7049464305558324
广西,2024,28694.1,4.335731972932577
内蒙古,2024,26337.0,5.261685417957285
山西,2024,25353.5,-2.6766932301503177
贵州,2024,22645.7,5.261763434462696
新疆,2024,20492.4,4.535460866282737
天津,2024,17931.3,4.180271674084057
黑龙江,2024,16478.1,0.04492826655817517
吉林,2024,14305.0,2.598492401041397
甘肃,2024,13020.5,5.465870708019782
海南,2024,7972.7,5.03939290137283
宁夏,2024,5520.2,2.81999701981821
青海,2024,3965.5,3.021407045619884
西藏,2024,2789.1,10.114888072959838
