province,year,gdp,gdp_growth
上海,2011,20406.1,
上海,2012,21774.9,6.707798158393818
上海,2013,23809.4,9.343326490592375
上海,2014,25964.5,9.051467067628739
上海,2015,27821.6,7.15245816403165
上海,2016,30963.9,11.294461856974447
上海,2017,34378.3,11.027034708160155
上海,2018,37769.1,9.863198587481037
上海,2019,40241.2,6.545297611010059
上海,2020,41603.9,3.386330427522055
上海,2021,47059.4,13.112953352930855
上海,2022,48594.5,3.262047539917634
上海,2023,51404.5,5.7825474076284245
上海,2024,53759.5,4.581310974720121
云南,2011,9666.2,
云南,2012,11266.3,16.553557757960704
云南,2013,13027.0,15.628023397211166
云南,2014,14275.1,9.580870499731331
云南,2015,15358.6,7.5901394736288985
云南,2016,16773.6,9.21307931712525
云南,2017,18864.6,12.466018028330229
云南,2018,21427.5,13.585763811583607
云南,2019,23902.1,11.54871076887176
云南,2020,25214.5,5.490730939959265
云南,2021,27895.3,10.631977631918144
云南,2022,29301.1,5.039558635325658
云南,2023,30595.8,4.418605444846779
云南,2024,31423.4,2.7049464305558324
内蒙古,2011,9610.8,
内蒙古,2012,10638.9,10.697340491946573
内蒙古,2013,11584.9,8.89189671864572
内蒙古,2014,12377.3,6.839938195409534
内蒙古,2015,13062.7,5.537556656136644
内蒙古,2016,13879.0,6.249090923009781
内蒙古,2017,15009.9,8.148281576482464
内蒙古,2018,16252.9,8.281201073957845
内蒙古,2019,17479.4,7.546345575251201
内蒙古,2020,17623.4,0.8238269048136626
内蒙古,2021,21584.8,22.478068931080266
内蒙古,2022,23795.7,10.242856083910912
内蒙古,2023,25020.5,5.147148434380999
内蒙古,2024,26337.0,5.261685417957285
北京,2011,17653.3,
北京,2012,19568.3,10.847830150736693
北京,2013,21746.0,11.12871327606384
北京,2014,23577.5,8.422238572611063
北京,2015,26034.1,10.41925564627293
北京,2016,28438.7,9.23634771319155
北京,2017,31325.9,10.152362801393888
北京,2018,35161.4,12.243862107712777
北京,2019,37767.0,7.410398903342874
北京,2020,38503.6,1.9503799613419082
北京,2021,44350.7,15.185852751431028
北京,2022,45222.4,1.9654706690086066
北京,2023,47353.7,4.712929875459948
北京,2024,49670.2,4.891909185554666
吉林,2011,7857.7,
吉林,2012,8831.3,12.390394135688542
吉林,2013,9608.6,8.801648681394592
吉林,2014,10077.0,4.8747996586391285
吉林,2015,10162.9,0.8524362409447317
吉林,2016,10603.5,4.3353767133397
吉林,2017,11083.0,4.522091762154012
吉林,2018,11437.4,3.1976901560949234
吉林,2019,11949.4,4.476541871404338
吉林,2020,12499.5,4.603578422347576
吉林,2021,13431.1,7.453098123924962
吉林,2022,13121.4,-2.3058424105248276
吉林,2023,13942.7,6.259240629810847
吉林,2024,14305.0,2.598492401041397
四川,2011,21313.1,
四川,2012,24224.9,13.662020072162196
四川,2013,26858.4,10.87104590731025
四川,2014,29357.5,9.304724034194134
四川,2015,30829.1,5.012688410116661
四川,2016,33879.2,9.893574577266273
四川,2017,38517.1,13.68952041370517
四川,2018,43539.0,13.038105153295554
四川,2019,47168.6,8.336434001699633
四川,2020,49445.1,4.826303939485177
四川,2021,55131.3,11.500027303008808
四川,2022,57609.4,4.494905797614046
四川,2023,61353.4,6.498939409193638
四川,2024,64537.9,5.190421394739331
天津,2011,8240.8,
天津,2012,9193.0,11.554703426851765
天津,2013,10075.2,9.596432067877746
天津,2014,10749.2,6.689693504843586
天津,2015,10889.2,1.3024225058609007
天津,2016,11487.0,5.489843147338647
天津,2017,12468.2,8.541829894663543
天津,2018,13411.1,7.562438844420205
天津,2019,14097.2,5.115911446488353
天津,2020,14230.8,0.9477059274181965
天津,2021,16093.2,13.087106838687923
天津,2022,16588.5,3.077697412571756
天津,2023,17211.8,3.757422310636893
天津,2024,17931.3,4.180271674084057
宁夏,2011,1959.3,
宁夏,2012,2162.0,10.345531567396527
宁夏,2013,2364.9,9.384828862164674
宁夏,2014,2516.4,6.4061905365977445
宁夏,2015,2644.7,5.098553489111413
宁夏,2016,2853.3,7.887473059326222
宁夏,2017,3271.6,14.660217993200853
宁夏,2018,3580.6,9.44491991686025
宁夏,2019,3841.5,7.2864882980506085
宁夏,2020,4036.2,5.068332682545873
宁夏,2021,4666.5,15.616173628660635
宁夏,2022,5168.1,10.748955319832865
宁夏,2023,5368.8,3.883438787949145
宁夏,2024,5520.2,2.81999701981821
安徽,2011,16532.7,
安徽,2012,18613.7,12.587175718424692
安徽,2013,20888.2,12.219494243487317
安徽,2014,22880.7,9.538878409819906
安徽,2015,24142.7,5.515565520285648
安徽,2016,26801.2,11.011610134740524
安徽,2017,30141.8,12.464367267137288
安徽,2018,34377.3,14.051914616910754
安徽,2019,37584.8,9.330284810034527
安徽,2020,38628.8,2.7777186522211172
安徽,2021,43102.8,11.582032058981895
安徽,2022,45525.1,5.619820522100638
安徽,2023,48227.5,5.936066038295351
安徽,2024,50646.7,5.016225182727685
山东,2011,39622.0,
山东,2012,43584.3,10.000252385038632
山东,2013,48058.1,10.264705409975594
山东,2014,51552.7,7.271614982698016
山东,2015,56159.1,8.935322495233034
山东,2016,59702.6,6.309752114973355
