code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002000000,FS_Combas-A002100000,FS_Combas-A002200000,FS_Combas-A002101000,FS_Combas-A002201000,FS_Combas-A003000000,FS_Comins-B002000000,Shrcr1,Shrhfd5,listing_year
2647.0,2005,*ST 仁东,,,,,,,,,,,,2011.0
2648.0,2005,卫星化学,,,,,,,,,,,,2011.0
2649.0,2005,博彦科技,,,,,,,,,,,,2012.0
2650.0,2005,ST 加加,,,,,,,,,,,,2012.0
2651.0,2005,利君股份,,,,,,,,,,,,2012.0
2652.0,2005,扬子新材,,,,,,,,,,,,2012.0
2653.0,2005,海思科,,,,,,,,,,,,2012.0
2654.0,2005,万润科技,,,,,,,,,,,,2012.0
2655.0,2005,共达电声,,,,,,,,,,,,2012.0
2656.0,2005,*ST 摩登,,,,,,,,,,,,2012.0
2657.0,2005,中科金财,,,,,,,,,,,,2012.0
2658.0,2005,雪迪龙,,,,,,,,,,,,2012.0
2659.0,2005,凯文教育,,,,,,,,,,,,2012.0
2660.0,2005,茂硕电源,,,,,,,,,,,,2012.0
2661.0,2005,克明食品,,,,,,,,,,,,2012.0
2662.0,2005,峰璟股份,,,,,,,,,,,,2012.0
2663.0,2005,普邦股份,,,,,,,,,,,,2012.0
2664.0,2005,信质集团,,,,,,,,,,,,2012.0
2665.0,2005,ST 航高,,,,,,,,,,,,2012.0
2666.0,2005,德联集团,,,,,,,,,,,,2012.0
2667.0,2005,威领股份,,,,,,,,,,,,2012.0
2668.0,2005,TCL智家,,,,,,,,,,,,2012.0
2669.0,2005,康达新材,,,,,,,,,,,,2012.0
2670.0,2005,国盛金控,,,,,,,,,,,,2012.0
2671.0,2005,龙泉股份,,,,,,,,,,,,2012.0
2672.0,2005,东江环保,,,,,,,,,,,,2003.0
2673.0,2005,西部证券,,,,,,,,,,,,2012.0
2674.0,2005,兴业科技,,,,,,,,,,,,2012.0
2675.0,2005,东诚药业,,,,,,,,,,,,2012.0
2676.0,2005,顺威股份,,,,,,,,,,,,2012.0
2677.0,2005,浙江美大,,,,,,,,,,,,2012.0
2678.0,2005,珠江钢琴,,,,,,,,,,,,2012.0
2679.0,2005,福建金森,,,,,,,,,,,,2012.0
2680.0,2005,长生退,,,,,,,,,,,,2012.0
2681.0,2005,奋达科技,,,,,,,,,,,,2012.0
2682.0,2005,龙洲股份,,,,,,,,,,,,2012.0
2683.0,2005,广东宏大,,,,,,,,,,,,2012.0
2684.0,2005,猛狮退,,,,,,,,,,,,2012.0
2685.0,2005,华东重机,,,,,,,,,,,,2012.0
2686.0,2005,亿利达,,,,,,,,,,,,2012.0
2687.0,2005,乔治白,,,,,,,,,,,,2012.0
2688.0,2005,金河生物,,,,,,,,,,,,2012.0
2689.0,2005,远大智能,,,,,,,,,,,,2012.0
2690.0,2005,美亚光电,,,,,,,,,,,,2012.0
2691.0,2005,冀凯股份,,,,,,,,,,,,2012.0
2692.0,2005,远程股份,,,,,,,,,,,,2012.0
2693.0,2005,*ST 双成,,,,,,,,,,,,2012.0
2694.0,2005,顾地科技,,,,,,,,,,,,2012.0
2695.0,2005,煌上煌,,,,,,,,,,,,2012.0
2696.0,2005,百洋股份,,,,,,,,,,,,2012.0
2697.0,2005,红旗连锁,,,,,,,,,,,,2012.0
2698.0,2005,博实股份,,,,,,,,,,,,2012.0
2699.0,2005,*ST 美盛,,,,,,,,,,,,2012.0
2700.0,2005,新疆浩源,,,,,,,,,,,,2012.0
2701.0,2005,奥瑞金,,,,,,,,,,,,2012.0
2702.0,2005,海欣食品,,,,,,,,,,,,2012.0
2703.0,2005,浙江世宝,,,,,,,,,,,,2006.0
2705.0,2005,新宝股份,,,,,,,,,,,,2014.0
2706.0,2005,良信股份,,,,,,,,,,,,2014.0
2707.0,2005,众信旅游,,,,,,,,,,,,2014.0
2708.0,2005,光洋股份,,,,,,,,,,,,2014.0
2709.0,2005,天赐材料,,,,,,,,,,,,2014.0
2711.0,2005,欧浦退,,,,,,,,,,,,2014.0
2712.0,2005,思美传媒,,,,,,,,,,,,2014.0
2713.0,2005,*ST 东易,,,,,,,,,,,,2014.0
2714.0,2005,牧原股份,,,,,,,,,,,,2014.0
2715.0,2005,登云股份,,,,,,,,,,,,2014.0
2716.0,2005,湖南白银,,,,,,,,,,,,2014.0
2717.0,2005,ST 岭南,,,,,,,,,,,,2014.0
2718.0,2005,友邦吊顶,,,,,,,,,,,,2014.0
2719.0,2005,麦趣尔,,,,,,,,,,,,2014.0
2721.0,2005,ST 金一,,,,,,,,,,,,2014.0
2722.0,2005,物产金轮,,,,,,,,,,,,2014.0
2723.0,2005,小崧股份,,,,,,,,,,,,2014.0
2724.0,2005,海洋王,,,,,,,,,,,,2014.0
2725.0,2005,跃岭股份,,,,,,,,,,,,2014.0
2726.0,2005,龙大美食,,,,,,,,,,,,2014.0
2727.0,2005,一心堂,,,,,,,,,,,,2014.0
2728.0,2005,特一药业,,,,,,,,,,,,2014.0
2729.0,2005,好利科技,,,,,,,,,,,,2014.0
2730.0,2005,电光科技,,,,,,,,,,,,2014.0
2731.0,2005,萃华珠宝,,,,,,,,,,,,2014.0
2732.0,2005,燕塘乳业,,,,,,,,,,,,2014.0
2733.0,2005,雄韬股份,,,,,,,,,,,,2014.0
2734.0,2005,利民股份,,,,,,,,,,,,2015.0
2735.0,2005,王子新材,,,,,,,,,,,,2014.0
2736.0,2005,国信证券,,,,,,,,,,,,2014.0
2737.0,2005,葵花药业,,,,,,,,,,,,2014.0
2738.0,2005,中矿资源,,,,,,,,,,,,2014.0
2739.0,2005,万达电影,,,,,,,,,,,,2015.0
2740.0,2005,*ST 爱迪,,,,,,,,,,,,2015.0
2741.0,2005,光华科技,,,,,,,,,,,,2015.0
2742.0,2005,*ST 三圣,,,,,,,,,,,,2015.0
2743.0,2005,富煌钢构,,,,,,,,,,,,2015.0
2745.0,2005,木林森,,,,,,,,,,,,2015.0
2746.0,2005,仙坛股份,,,,,,,,,,,,2015.0
2747.0,2005,埃斯顿,,,,,,,,,,,,2015.0
2748.0,2005,世龙实业,,,,,,,,,,,,2015.0
2749.0,2005,国光股份,,,,,,,,,,,,2015.0
2750.0,2005,*ST 龙津,,,,,,,,,,,,2015.0
2751.0,2005,易尚退,,,,,,,,,,,,2015.0
2752.0,2005,昇兴股份,,,,,,,,,,,,2015.0
2753.0,2005,永东股份,,,,,,,,,,,,2015.0
2755.0,2005,奥赛康,,,,,,,,,,,,2015.0
2756.0,2005,永兴材料,,,,,,,,,,,,2015.0
2757.0,2005,南兴股份,,,,,,,,,,,,2015.0
2758.0,2005,浙农股份,,,,,,,,,,,,2015.0
2759.0,2005,天际股份,,,,,,,,,,,,2015.0
2760.0,2005,凤形股份,,,,,,,,,,,,2015.0
2761.0,2005,浙江建投,,,,,,,,,,,,2015.0
2762.0,2005,*ST 金比,,,,,,,,,,,,2015.0
2763.0,2005,汇洁股份,,,,,,,,,,,,2015.0
2765.0,2005,蓝黛科技,,,,,,,,,,,,2015.0
2766.0,2005,索菱股份,,,,,,,,,,,,2015.0
2767.0,2005,先锋电子,,,,,,,,,,,,2015.0
2768.0,2005,国恩股份,,,,,,,,,,,,2015.0
2769.0,2005,普路通,,,,,,,,,,,,2015.0
2770.0,2005,科迪退,,,,,,,,,,,,2015.0
2771.0,2005,真视通,,,,,,,,,,,,2015.0
2772.0,2005,众兴菌业,,,,,,,,,,,,2015.0
2773.0,2005,康弘药业,,,,,,,,,,,,2015.0
2774.0,2005,快意电梯,,,,,,,,,,,,2017.0
2775.0,2005,文科股份,,,,,,,,,,,,2015.0
2776.0,2005,*ST 柏龙,,,,,,,,,,,,2015.0
2777.0,2005,久远银海,,,,,,,,,,,,2015.0
2778.0,2005,中晟高科,,,,,,,,,,,,2016.0
2779.0,2005,中坚科技,,,,,,,,,,,,2015.0
2780.0,2005,三夫户外,,,,,,,,,,,,2015.0
2781.0,2005,奇信退,,,,,,,,,,,,2015.0
2782.0,2005,可立克,,,,,,,,,,,,2015.0
2783.0,2005,凯龙股份,,,,,,,,,,,,2015.0
2785.0,2005,万里石,,,,,,,,,,,,2015.0
2786.0,2005,银宝山新,,,,,,,,,,,,2015.0
2787.0,2005,华源控股,,,,,,,,,,,,2015.0
2788.0,2005,鹭燕医药,,,,,,,,,,,,2016.0
2789.0,2005,*ST 建艺,,,,,,,,,,,,2016.0
2790.0,2005,瑞尔特,,,,,,,,,,,,2016.0
2791.0,2005,坚朗五金,,,,,,,,,,,,2016.0
2792.0,2005,通宇通讯,,,,,,,,,,,,2016.0
2793.0,2005,罗欣药业,,,,,,,,,,,,2016.0
2795.0,2005,永和智控,,,,,,,,,,,,2016.0
2796.0,2005,世嘉科技,,,,,,,,,,,,2016.0
2797.0,2005,第一创业,,,,,,,,,,,,2016.0
2798.0,2005,帝欧家居,,,,,,,,,,,,2016.0
2799.0,2005,环球印务,,,,,,,,,,,,2016.0
2800.0,2005,天顺股份,,,,,,,,,,,,2016.0
2801.0,2005,微光股份,,,,,,,,,,,,2016.0
2802.0,2005,洪汇新材,,,,,,,,,,,,2016.0
2803.0,2005,吉宏股份,,,,,,,,,,,,2016.0
2805.0,2005,丰元股份,,,,,,,,,,,,2016.0
2806.0,2005,华锋股份,,,,,,,,,,,,2016.0
2807.0,2005,江阴银行,,,,,,,,,,,,2016.0
2808.0,2005,*ST 恒久,,,,,,,,,,,,2016.0
2809.0,2005,红墙股份,,,,,,,,,,,,2016.0
2810.0,2005,山东赫达,,,,,,,,,,,,2016.0
2811.0,2005,郑中设计,,,,,,,,,,,,2016.0
2812.0,2005,恩捷股份,,,,,,,,,,,,2016.0
2813.0,2005,路畅科技,,,,,,,,,,,,2016.0
2815.0,2005,崇达技术,,,,,,,,,,,,2016.0
2816.0,2005,*ST 和科,,,,,,,,,,,,2016.0
2817.0,2005,黄山胶囊,,,,,,,,,,,,2016.0
2818.0,2005,富森美,,,,,,,,,,,,2016.0
2819.0,2005,东方中科,,,,,,,,,,,,2016.0
2820.0,2005,桂发祥,,,,,,,,,,,,2016.0
2821.0,2005,凯莱英,,,,,,,,,,,,2016.0
2822.0,2005,ST 中装,,,,,,,,,,,,2016.0
2823.0,2005,凯中精密,,,,,,,,,,,,2016.0
2824.0,2005,和胜股份,,,,,,,,,,,,2017.0
2825.0,2005,纳尔股份,,,,,,,,,,,,2016.0
2826.0,2005,易明医药,,,,,,,,,,,,2016.0
2827.0,2005,高争民爆,,,,,,,,,,,,2016.0
2828.0,2005,贝肯能源,,,,,,,,,,,,2016.0
2829.0,2005,星网宇达,,,,,,,,,,,,2016.0
2830.0,2005,名雕股份,,,,,,,,,,,,2016.0
2831.0,2005,裕同科技,,,,,,,,,,,,2016.0
2832.0,2005,比音勒芬,,,,,,,,,,,,2016.0
2833.0,2005,弘亚数控,,,,,,,,,,,,2016.0
2835.0,2005,同为股份,,,,,,,,,,,,2016.0
2836.0,2005,新宏泽,,,,,,,,,,,,2016.0
2837.0,2005,英维克,,,,,,,,,,,,2016.0
2838.0,2005,道恩股份,,,,,,,,,,,,2017.0
2839.0,2005,张家港行,,,,,,,,,,,,2017.0
2840.0,2005,华统股份,,,,,,,,,,,,2017.0
2841.0,2005,视源股份,,,,,,,,,,,,2017.0
2842.0,2005,翔鹭钨业,,,,,,,,,,,,2017.0
2843.0,2005,泰嘉股份,,,,,,,,,,,,2017.0
2845.0,2005,同兴达,,,,,,,,,,,,2017.0
2846.0,2005,英联股份,,,,,,,,,,,,2017.0
2847.0,2005,盐津铺子,,,,,,,,,,,,2017.0
2848.0,2005,*ST 高斯,,,,,,,,,,,,2017.0
2849.0,2005,威星智能,,,,,,,,,,,,2017.0
2850.0,2005,科达利,,,,,,,,,,,,2017.0
2851.0,2005,麦格米特,,,,,,,,,,,,2017.0
2852.0,2005,道道全,,,,,,,,,,,,2017.0
2853.0,2005,皮阿诺,,,,,,,,,,,,2017.0
2855.0,2005,捷荣技术,,,,,,,,,,,,2017.0
2856.0,2005,美芝股份,,,,,,,,,,,,2017.0
2857.0,2005,三晖电气,,,,,,,,,,,,2017.0
2858.0,2005,力盛体育,,,,,,,,,,,,2017.0
2859.0,2005,洁美科技,,,,,,,,,,,,2017.0
2860.0,2005,星帅尔,,,,,,,,,,,,2017.0
2861.0,2005,瀛通通讯,,,,,,,,,,,,2017.0
2862.0,2005,实丰文化,,,,,,,,,,,,2017.0
2863.0,2005,今飞凯达,,,,,,,,,,,,2017.0
2864.0,2005,盘龙药业,,,,,,,,,,,,2017.0
2865.0,2005,钧达股份,,,,,,,,,,,,2017.0
2866.0,2005,传艺科技,,,,,,,,,,,,2017.0
2867.0,2005,周大生,,,,,,,,,,,,2017.0
2868.0,2005,*ST 绿康,,,,,,,,,,,,2017.0
2869.0,2005,金溢科技,,,,,,,,,,,,2017.0
2870.0,2005,香山股份,,,,,,,,,,,,2017.0
2871.0,2005,伟隆股份,,,,,,,,,,,,2017.0
2872.0,2005,ST 天圣,,,,,,,,,,,,2017.0
2873.0,2005,新天药业,,,,,,,,,,,,2017.0
2875.0,2005,安奈儿,,,,,,,,,,,,2017.0
2876.0,2005,三利谱,,,,,,,,,,,,2017.0
2877.0,2005,智能自控,,,,,,,,,,,,2017.0
2878.0,2005,元隆雅图,,,,,,,,,,,,2017.0
2879.0,2005,长缆科技,,,,,,,,,,,,2017.0
2880.0,2005,卫光生物,,,,,,,,,,,,2017.0
2881.0,2005,美格智能,,,,,,,,,,,,2017.0
2882.0,2005,金龙羽,,,,,,,,,,,,2017.0
2883.0,2005,中设股份,,,,,,,,,,,,2017.0
2884.0,2005,凌霄泵业,,,,,,,,,,,,2017.0
2885.0,2005,京泉华,,,,,,,,,,,,2017.0
2886.0,2005,沃特股份,,,,,,,,,,,,2017.0
2887.0,2005,绿茵生态,,,,,,,,,,,,2017.0
2888.0,2005,惠威科技,,,,,,,,,,,,2017.0
2889.0,2005,东方嘉盛,,,,,,,,,,,,2017.0
2890.0,2005,弘宇股份,,,,,,,,,,,,2017.0
2891.0,2005,中宠股份,,,,,,,,,,,,2017.0
2892.0,2005,科力尔,,,,,,,,,,,,2017.0
2893.0,2005,京能热力,,,,,,,,,,,,2017.0
2895.0,2005,川恒股份,,,,,,,,,,,,2017.0
2896.0,2005,中大力德,,,,,,,,,,,,2017.0
2897.0,2005,意华股份,,,,,,,,,,,,2017.0
2898.0,2005,*ST 赛隆,,,,,,,,,,,,2017.0
2899.0,2005,英派斯,,,,,,,,,,,,2017.0
2900.0,2005,哈三联,,,,,,,,,,,,2017.0
2901.0,2005,大博医疗,,,,,,,,,,,,2017.0
2902.0,2005,铭普光磁,,,,,,,,,,,,2017.0
2903.0,2005,宇环数控,,,,,,,,,,,,2017.0
2905.0,2005,金逸影视,,,,,,,,,,,,2017.0
2906.0,2005,华阳集团,,,,,,,,,,,,2017.0
2907.0,2005,华森制药,,,,,,,,,,,,2017.0
2908.0,2005,德生科技,,,,,,,,,,,,2017.0
2909.0,2005,集泰股份,,,,,,,,,,,,2017.0
2910.0,2005,庄园牧场,,,,,,,,,,,,2015.0
2911.0,2005,佛燃能源,,,,,,,,,,,,2017.0
2912.0,2005,中新赛克,,,,,,,,,,,,2017.0
2913.0,2005,奥士康,,,,,,,,,,,,2017.0
2915.0,2005,中欣氟材,,,,,,,,,,,,2017.0
2916.0,2005,深南电路,,,,,,,,,,,,2017.0
2917.0,2005,金奥博,,,,,,,,,,,,2017.0
2918.0,2005,蒙娜丽莎,,,,,,,,,,,,2017.0
2919.0,2005,名臣健康,,,,,,,,,,,,2017.0
2920.0,2005,德赛西威,,,,,,,,,,,,2017.0
2921.0,2005,联诚精密,,,,,,,,,,,,2017.0
2922.0,2005,伊戈尔,,,,,,,,,,,,2017.0
2923.0,2005,润都股份,,,,,,,,,,,,2018.0
2925.0,2005,盈趣科技,,,,,,,,,,,,2018.0
2926.0,2005,华西证券,,,,,,,,,,,,2018.0
2927.0,2005,泰永长征,,,,,,,,,,,,2018.0
2928.0,2005,华夏航空,,,,,,,,,,,,2018.0
2929.0,2005,润建股份,,,,,,,,,,,,2018.0
2930.0,2005,宏川智慧,,,,,,,,,,,,2018.0
2931.0,2005,锋龙股份,,,,,,,,,,,,2018.0
2932.0,2005,明德生物,,,,,,,,,,,,2018.0
2933.0,2005,新兴装备,,,,,,,,,,,,2018.0
2935.0,2005,天奥电子,,,,,,,,,,,,2018.0
2936.0,2005,郑州银行,,,,,,,,,,,,2015.0
2937.0,2005,兴瑞科技,,,,,,,,,,,,2018.0
2938.0,2005,鹏鼎控股,,,,,,,,,,,,2018.0
2939.0,2005,长城证券,,,,,,,,,,,,2018.0
2940.0,2005,昂利康,,,,,,,,,,,,2018.0
2941.0,2005,新疆交建,,,,,,,,,,,,2018.0
2942.0,2005,新农股份,,,,,,,,,,,,2018.0
2943.0,2005,宇晶股份,,,,,,,,,,,,2018.0
2945.0,2005,华林证券,,,,,,,,,,,,2019.0
2946.0,2005,新乳业,,,,,,,,,,,,2019.0
2947.0,2005,恒铭达,,,,,,,,,,,,2019.0
2948.0,2005,青岛银行,,,,,,,,,,,,2015.0
2949.0,2005,华阳国际,,,,,,,,,,,,2019.0
2950.0,2005,奥美医疗,,,,,,,,,,,,2019.0
2951.0,2005,金时科技,,,,,,,,,,,,2019.0
2952.0,2005,亚世光电,,,,,,,,,,,,2019.0
2953.0,2005,日丰股份,,,,,,,,,,,,2019.0
2955.0,2005,鸿合科技,,,,,,,,,,,,2019.0
2956.0,2005,西麦食品,,,,,,,,,,,,2019.0
2957.0,2005,科瑞技术,,,,,,,,,,,,2019.0
2958.0,2005,青农商行,,,,,,,,,,,,2019.0
2959.0,2005,小熊电器,,,,,,,,,,,,2019.0
2960.0,2005,青鸟消防,,,,,,,,,,,,2019.0
2961.0,2005,瑞达期货,,,,,,,,,,,,2019.0
2962.0,2005,五方光电,,,,,,,,,,,,2019.0
2963.0,2005,豪尔赛,,,,,,,,,,,,2019.0
2965.0,2005,祥鑫科技,,,,,,,,,,,,2019.0
2966.0,2005,苏州银行,,,,,,,,,,,,2019.0
2967.0,2005,广电计量,,,,,,,,,,,,2019.0
2968.0,2005,新大正,,,,,,,,,,,,2019.0
2969.0,2005,嘉美包装,,,,,,,,,,,,2019.0
2970.0,2005,锐明技术,,,,,,,,,,,,2019.0
2971.0,2005,和远气体,,,,,,,,,,,,2020.0
2972.0,2005,科安达,,,,,,,,,,,,2019.0
2973.0,2005,侨银股份,,,,,,,,,,,,2020.0
2975.0,2005,博杰股份,,,,,,,,,,,,2020.0
2976.0,2005,瑞玛精密,,,,,,,,,,,,2020.0
2977.0,2005,天箭科技,,,,,,,,,,,,2020.0
2978.0,2005,安宁股份,,,,,,,,,,,,2020.0
2979.0,2005,雷赛智能,,,,,,,,,,,,2020.0
2980.0,2005,华盛昌,,,,,,,,,,,,2020.0
2981.0,2005,朝阳科技,,,,,,,,,,,,2020.0
2982.0,2005,湘佳股份,,,,,,,,,,,,2020.0
2983.0,2005,芯瑞达,,,,,,,,,,,,2020.0
2984.0,2005,森麒麟,,,,,,,,,,,,2020.0
2985.0,2005,北摩高科,,,,,,,,,,,,2020.0
2986.0,2005,宇新股份,,,,,,,,,,,,2020.0
2987.0,2005,京北方,,,,,,,,,,,,2020.0
2988.0,2005,豪美新材,,,,,,,,,,,,2020.0
2989.0,2005,中天精装,,,,,,,,,,,,2020.0
2990.0,2005,盛视科技,,,,,,,,,,,,2020.0
2991.0,2005,甘源食品,,,,,,,,,,,,2020.0
2992.0,2005,宝明科技,,,,,,,,,,,,2020.0
2993.0,2005,奥海科技,,,,,,,,,,,,2020.0
2995.0,2005,天地在线,,,,,,,,,,,,2020.0
2996.0,2005,顺博合金,,,,,,,,,,,,2020.0
2997.0,2005,瑞鹄模具,,,,,,,,,,,,2020.0
2998.0,2005,优彩资源,,,,,,,,,,,,2020.0
2999.0,2005,天禾股份,,,,,,,,,,,,2020.0
3000.0,2005,劲仔食品,,,,,,,,,,,,2020.0
3001.0,2005,中岩大地,,,,,,,,,,,,2020.0
3002.0,2005,壶化股份,,,,,,,,,,,,2020.0
3003.0,2005,天元股份,,,,,,,,,,,,2020.0
3004.0,2005,*ST 声迅,,,,,,,,,,,,2020.0
3005.0,2005,竞业达,,,,,,,,,,,,2020.0
3006.0,2005,百亚股份,,,,,,,,,,,,2020.0
3007.0,2005,直真科技,,,,,,,,,,,,2020.0
3008.0,2005,开普检测,,,,,,,,,,,,2020.0
3009.0,2005,中天火箭,,,,,,,,,,,,2020.0
3010.0,2005,若羽臣,,,,,,,,,,,,2020.0
3011.0,2005,海象新材,,,,,,,,,,,,2020.0
3012.0,2005,东鹏控股,,,,,,,,,,,,2013.0
3013.0,2005,地铁设计,,,,,,,,,,,,2020.0
3015.0,2005,日久光电,,,,,,,,,,,,2020.0
3016.0,2005,欣贺股份,,,,,,,,,,,,2020.0
3017.0,2005,大洋生物,,,,,,,,,,,,2020.0
3018.0,2005,金富科技,,,,,,,,,,,,2020.0
3019.0,2005,宸展光电,,,,,,,,,,,,2020.0
3020.0,2005,立方制药,,,,,,,,,,,,2020.0
3021.0,2005,兆威机电,,,,,,,,,,,,2020.0
3022.0,2005,联泓新科,,,,,,,,,,,,2020.0
3023.0,2005,彩虹集团,,,,,,,,,,,,2020.0
3025.0,2005,思进智能,,,,,,,,,,,,2020.0
3026.0,2005,中晶科技,,,,,,,,,,,,2020.0
3027.0,2005,同兴科技,,,,,,,,,,,,2020.0
3028.0,2005,振邦智能,,,,,,,,,,,,2020.0
3029.0,2005,吉大正元,,,,,,,,,,,,2020.0
3030.0,2005,祖名股份,,,,,,,,,,,,2021.0
3031.0,2005,中瓷电子,,,,,,,,,,,,2021.0
3032.0,2005,*ST 传智,,,,,,,,,,,,2021.0
3033.0,2005,征和工业,,,,,,,,,,,,2021.0
3035.0,2005,南网能源,,,,,,,,,,,,2021.0
3036.0,2005,泰坦股份,,,,,,,,,,,,2021.0
3037.0,2005,三和管桩,,,,,,,,,,,,2021.0
3038.0,2005,鑫铂股份,,,,,,,,,,,,2021.0
3039.0,2005,顺控发展,,,,,,,,,,,,2021.0
3040.0,2005,楚天龙,,,,,,,,,,,,2021.0
3041.0,2005,真爱美家,,,,,,,,,,,,2021.0
3042.0,2005,中农联合,,,,,,,,,,,,2021.0
3043.0,2005,华亚智能,,,,,,,,,,,,2021.0
3816.0,2005,中国广核,,,,,,,,,,,,2014.0
200002.0,2005,万科B,3249034710.39,21992392061.3,13411168833.23,10859763002.48,2551405830.75,900000000,1194889180,8581223228.07,1433425711.84,,,
200003.0,2005,PT 金田B,,,,,,,,,,,,
200011.0,2005,深物业B,239369714.75,1792535811.46,1142277418.68,974204988.41,168072430.27,462202117.37,0,650258392.78,82902699.63,,,
200012.0,2005,南玻B,282221367,5523323511,2807577171,1893309332,914267839,866702791,913987339,2715746340,378687775,,,
200013.0,2005,*ST 石化B,,,,,,,,,,,,
200015.0,2005,PT 中浩B,,,,,,,,,,,,
200016.0,2005,深康佳B,629159950.38,9120452267.93,5653363959.52,5633184810.33,20179149.19,28000000,0,3467088308.41,19266511.69,,,
200017.0,2005,深中华B,27692212.12,328877255.91,2141778927.6,957954908.04,1183824019.56,461055464.21,87071290.71,-1812901671.69,6558848.31,,,
200018.0,2005,神城B退,37563561,495350310,205795691,191529341,14266350,105020186,2299828,289554619,-46016378,,,
200019.0,2005,深粮B,32669146.78,439106808.72,180596360.54,154197360.58,26398999.96,76100000,0,258510448.18,4431609.61,,,
200020.0,2005,深华发B,17090691.2,389185291.7,150326363.44,150326363.44,0,94100000,0,238858928.26,6622306.73,,,
200022.0,2005,深赤湾B,143257200,4573762884,1538266411,1079457377,458809034,707709752,358196845,3035496473,903727132,,,
200024.0,2005,招商局B,340515961,8936565336,5047846927,3423793183,1624053744,1656188929,1600000000,3888718409,439918069,,,
200025.0,2005,特力B,105804080.45,859358659.13,582141342.63,547646555.52,34494787.11,223491173.85,0,277217316.5,7714082.91,,,
200026.0,2005,飞亚达B,47710206.11,621275547.2,80401625.07,77401625.07,3000000,20000000,0,540873922.13,15851506.93,,,
200028.0,2005,一致B,169288045.66,1072448048.81,678726779.73,677926779.73,800000,10000000,0,393721269.08,35765331.72,,,
200029.0,2005,深深房B,310856949.28,2280306748.29,1241470981.94,1110811956.98,130659024.96,291474378.56,110000000,1038835766.35,8418818.57,,,
200030.0,2005,富奥B,85997.29,39195650.78,1688367418.25,987875510.68,700491907.57,519799932.07,0,-1649171767.47,-53285401.53,,,
200037.0,2005,深南电B,307526505.01,4230486281.51,2532215724.07,2114981349.52,417234374.55,1139522800,417234374.55,1698270557.44,7456366.63,,,
200039.0,2005,中集B,2828223006.54,17173071188.55,6823574256.18,5832183789.85,991390466.33,335253094.8,435650399.99,10349496932.37,2817759894.4,,,
200041.0,2005,*ST 本实B,50780.72,28901988.87,362565600.93,101905271.78,260660329.15,40962613.27,,-333663612.06,37834321.85,,,
200045.0,2005,深纺织B,70304094.11,659843681.48,215883279.97,211883279.97,4000000,78000000,0,443960401.51,30697196.48,,,
200053.0,2005,深基地B,85095972,942236964,200847483,162058789,38788694,,,741389481,115019769,,,
200054.0,2005,建车B,1289531000,2681168000,2435973000,2435335000,638000,595800000,,245195000,17566000,,,
200055.0,2005,方大B,117195459.67,1201275986.46,779061328.18,774461328.18,4600000,439233708,0,422214658.28,-58461648.42,,,
200056.0,2005,皇庭B,108254024.29,728664738.16,514213523.62,367959975.99,146253547.63,159408400,134124280,214451214.54,24221397.46,,,
200057.0,2005,*ST 大洋B,,,,,,,,,,,,
200058.0,2005,深赛格B,476894653.49,3458666122.04,1800363380.07,1729073630.75,71289749.32,374450000,70934270.24,1658302741.97,-244010949.23,,,
200152.0,2005,山航B退,762540965,6551168542,6273681398,2874314723,3399366675,1778756400,1765570034,277487144,-273055743,,,
200160.0,2005,东沣B退,4068049.34,2761726330.29,1142845127.8,1029700127.8,113145000,350339846.29,,1618881202.49,20721456.61,,,
200168.0,2005,*ST 舜喆B,10203438,1244935379,612704715,612704715,,486281112,,632230664,28242089,,,
200413.0,2005,ST 东旭B,36495356,839028088,552971124,552971124,0,5403892,0,286056964,-442995546,,,
200418.0,2005,小天鹅B,882277720.63,3439301209.52,2181367980.04,2180299916.04,1068064,707125100,0,1257933229.48,47515574.18,,,
200429.0,2005,粤高速B,546658595.1,6801082456.91,2552216406.67,982600454.65,1569615952.02,400000000,1560112991.04,4248866050.24,451640515.83,,,
200468.0,2005,宁通信B,297101070,1063182169,681499995,646419877,35080118,434000000,35000000,381682174,9385329,,,
200488.0,2005,ST 晨鸣B,1006358691.91,17969414107.77,10779033179.65,6981384828.14,3797648351.51,4463141400,1831097639.85,7190380928.12,661846207.77,,,
200505.0,2005,京粮B,27790429.68,850866853.3,772844148.54,637844148.54,135000000,90000000,135000000,78022704.76,-80998310.03,,,
200512.0,2005,闽灿坤B,401786059.74,4495747276.44,3083172348.08,3083172348.08,,1346688493.83,,1412574928.36,-485453549.95,,,
200513.0,2005,丽珠B,129498761.63,2163635210.12,925199613.3,907949469.1,17250144.2,507588871,700000,1238435596.82,116271937.34,,,
200521.0,2005,虹美菱B,306453395.83,2439936423.58,1560564511.52,1526847752.26,33716759.26,656403580,13300000,879371912.06,7101086.78,,,
200530.0,2005,冰山B,335401672.3,2158916614.46,664527734.75,599836484.75,64691250,44250000,50000000,1494388879.71,114342264.32,,,
200539.0,2005,粤电力B,1146950863.86,16992858627.39,6527293866.81,4503233866.81,2024060000,1390000000,2024060000,10465564760.58,853571666.51,,,
200541.0,2005,粤照明B,928100663.58,2563697231.55,233817291.78,233367291.78,450000,0,0,2329879939.77,220807591.42,,,
200550.0,2005,江铃B,1959455011,4663720336,1672212336,1557870414,114341922,124070340,10833638,2991508000,516705602,,,
