code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002000000,FS_Combas-A002100000,FS_Combas-A002200000,FS_Combas-A002101000,FS_Combas-A002201000,FS_Combas-A003000000,FS_Comins-B002000000,Shrcr1,Shrhfd5,listing_year
47.0,2000,ST 中侨,5175834.86,1371652951.74,1257715191.59,1178072155.02,79643036.57,589382096,0,113937760.15,-136772311.66,,,1994.0
48.0,2000,京基智农,242610787,1865610798,1570845764,1505896982,64948782,1049352894,52542490,294765034,-325840660,,,1994.0
49.0,2000,德赛电池,10795088.12,460879727.24,257882618.67,249258232.67,8624386,160162000,0,202997108.57,437192.27,,,1995.0
50.0,2000,深天马A,51608106.93,606933626.94,261120837.28,261120837.28,0,172575127.5,0,345812789.66,32518007.34,,,1995.0
55.0,2000,方大集团,274786151,1280868467,247783530,238783530,9000000,100500000,9000000,1033084937,72548242,,,1995.0
56.0,2000,皇庭国际,153806269.52,1108846910.43,673253964.69,673124135.7,129828.99,440603000,0,435592945.74,35919098.95,,,1995.0
58.0,2000,深赛格,487093029.54,4108583390.77,1879637610.32,1420630978.04,459006632.28,684060000,458719742.55,2228945780.45,12211062.63,,,1996.0
59.0,2000,华锦股份,61522341.25,2549493886.28,1052510585.72,580738334.76,471772250.96,349000000,463323444.94,1496983300.56,3806681.23,,,1997.0
60.0,2000,中金岭南,198306967.03,4579011658.95,3406199792.2,2482738970.56,923460821.64,1700103754.5,602400000,1172811866.75,141579497.36,,,1997.0
61.0,2000,农产品,214908435.18,2246596886.76,1066307148.04,876713823.31,189593324.73,402900000,65048975,1180289738.72,109593318.53,,,1997.0
62.0,2000,深圳华强,224399207.94,1264706635.81,117508291.59,117508291.59,0,0,0,1147198344.22,96815833.19,,,1997.0
63.0,2000,中兴通讯,872905351.07,6321006764.04,4371159481.57,3308839481.57,1062320000,613614000,876000000,1949847282.47,375513614.36,,,1997.0
65.0,2000,北方国际,17177344.37,306125469.81,158690170.25,157486119.87,1204050.38,78000000,0,147435299.56,15184149.08,,,1998.0
66.0,2000,中国长城,283507960.57,2228055702.85,1014481873.39,1012271473.39,2210400,305000000,2000000,1213573829.46,167034742.59,,,1997.0
68.0,2000,华控赛格,250183984.27,3074192412.81,1571035163.23,679541347.45,891493815.78,190000000,891493815.78,1503157249.58,146412532.31,,,1997.0
69.0,2000,华侨城A,104214442.01,1302839207.77,341143645.5,341143645.5,0,220000000,0,961695562.27,86868373.28,,,1997.0
70.0,2000,ST 特信,248346205,1369357327,581412095,446961699,134450396,180000000,136109592,787945232,56522775,,,2000.0
78.0,2000,海王生物,102517930.92,872297171.28,633549419.67,631549419.67,2000000,557545000,2000000,238747751.61,62152105.72,,,1998.0
88.0,2000,盐田港,188362711.83,3404245140.94,1877101875.85,1092774151.46,784327724.39,41000000,787339110.5,1527143265.09,125989616.09,,,1997.0
89.0,2000,深圳机场,393909680.47,2623583287.45,631661663.66,354575533.35,277086130.31,0,270000000,1991921623.79,318723144.59,,,1998.0
90.0,2000,天健集团,365053541.91,3007678477.9,2012986682.07,1811141326.7,201845355.37,495127810,200000000,994691795.83,98965924.71,,,1999.0
96.0,2000,广聚能源,451468774.1,1295618585.72,379231385.39,371384165.62,7847219.77,45000000,0,916387200.33,69615781.78,,,2000.0
99.0,2000,中信海直,505197164.67,1094266393.25,268494588.79,258836820.93,9657767.86,152145100,2460654.44,825771804.46,51257499.39,,,2000.0
100.0,2000,TCL科技,,,,,,,,,,,,2004.0
150.0,2000,*ST 宜康,153901223.09,766803706.34,89195716.44,80311167.96,8884548.48,25000000,0,677607989.9,42700613.93,,,2000.0
151.0,2000,中成股份,669553728.35,989095476.22,235820131.9,219781351.83,16038780.07,20000000,0,753275344.32,62857690.68,,,2000.0
153.0,2000,丰原药业,381193558.13,634786180.28,102284667.27,91100226.13,11184441.14,36980000,5000000,532501513.01,26269246.76,,,2000.0
155.0,2000,川能动力,316077411.55,1773219082.68,458091687.21,323280976.84,134810710.37,70000000,52000000,1315127395.47,97364208.94,,,2000.0
156.0,2000,华数传媒,324703954.08,641256378.03,172663992.73,111450489.71,61213503.02,63040000,61500000,468592385.3,22220387.13,,,2000.0
157.0,2000,中联重科,595234693.75,950439785.37,136246246.08,124747838.11,11498407.97,0,0,814193539.29,52865938.85,,,2000.0
158.0,2000,常山北明,291039424.6,1885159536.88,697638580.13,644347444.16,53291135.97,96000000,49460000,1187520956.75,101993774.16,,,2000.0
159.0,2000,国际实业,339130391.3,893303773.92,319120885.57,304801237.61,14319647.96,240450000,2500000,574182888.35,25903284.78,,,2000.0
166.0,2000,申万宏源,,,,,,,,,,,,2015.0
301.0,2000,东方盛虹,372105187.19,1788129796.29,572940365.52,553683713.44,19256652.08,175850000,15000000,1215189430.77,108187780.56,,,2000.0
333.0,2000,美的集团,,,,,,,,,,,,2013.0
338.0,2000,潍柴动力,,,,,,,,,,,,2004.0
400.0,2000,许继电气,265042319.45,2078863979.41,643550009.98,642450009.98,1100000,121670000,1100000,1435313969.43,208022418.68,,,1997.0
401.0,2000,冀东水泥,59730004.06,2238243947.94,694535388.11,537829737.15,156705650.96,87500000,146570000,1543708559.83,93151625.48,,,1996.0
402.0,2000,金融街,87345983.86,599748761.33,388620822.03,386416014.8,2204807.23,100000000,0,211127939.3,40135106.35,,,1996.0
403.0,2000,派林生物,173440130.37,1178575293.78,579293842.5,461971962.87,117321879.63,157540000,117321879.63,599281451.28,119071954.21,,,1996.0
404.0,2000,长虹华意,53439851.9,699795935.52,232594288.48,232594288.48,0,91940000,0,467201647.04,33487317.29,,,1996.0
405.0,2000,ST 鑫光,6914668.49,1049509615.9,467500686.7,449868687.23,17631999.47,179215129.96,19580000,582008929.2,-112195742.01,,,1996.0
406.0,2000,石油大明,124526768.95,1804069489.54,502759632.79,502759632.79,0,201100000,0,1301309856.75,276387890.02,,,1996.0
407.0,2000,胜利股份,104721725.96,1034388362.68,380842843.16,359636153.22,21206689.94,53990000,14441532.59,653545519.52,44002538.89,,,1996.0
408.0,2000,藏格矿业,27822668.94,732385463.21,347746470.91,299882875.76,47863595.15,114981926.5,47863595.15,384638992.3,30419953.65,,,1996.0
409.0,2000,云鼎科技,39147324.78,321769721.93,67298969.25,67208969.25,90000,2156100,90000,254470752.68,6811440.61,,,1996.0
410.0,2000,沈阳机床,21902722.06,2864944013.91,1916429990.35,844920585.82,1071509404.53,340711629.58,0,948514023.56,15105908.66,,,1996.0
411.0,2000,英特集团,6495579.18,292303970.72,245862299.69,252484137.56,-6621837.87,130580000,0,46441671.03,-73561822.75,,,1996.0
412.0,2000,ST 五环,20372041.33,803754749.41,479930041.69,457667257.65,22262784.04,257555000,20130000,323824707.72,-170322109.87,,,1996.0
413.0,2000,ST 旭电,45463327,1616898335,991890941,991890941,0,127035327,0,625007394,100048288,,,1996.0
415.0,2000,渤海租赁,43916547.39,774442498.53,339550377.74,317550377.74,22000000,259300000,22000000,434892120.79,45876072.12,,,1996.0
416.0,2000,*ST 民控,7120686.82,381474800.88,156798354.53,161458146.38,-4659791.85,115650000,0,224676446.35,-23985778.86,,,1996.0
417.0,2000,合百集团,275441014.29,974241901.62,371830718.61,371830718.61,0,24800000,0,602411183.01,51760682.24,,,1996.0
418.0,2000,小天鹅A,664362710.46,3407149351.94,1317423095.07,1316355031.07,1068064,550590000,0,2089726256.87,193141915.04,,,1996.0
419.0,2000,通程控股,290608521.65,1109852621.31,500045064.19,460045064.19,40000000,162100000,40000000,609807557.12,41732019.81,,,1996.0
420.0,2000,吉林化纤,115438720.41,2123121460.87,937287517.17,645609917.17,291677600,366444834.36,291630600,1185833943.7,48308258.9,,,1996.0
421.0,2000,南京公用,88111607.84,824670102.12,401366412.17,251332714.7,150033697.47,155900000,79000000,423303689.95,27147617.54,,,1996.0
422.0,2000,湖北宜化,31338005.22,1031462675.44,399858833.22,175200019.51,224658813.71,81450000,224600000,631603842.22,39441996.87,,,1996.0
423.0,2000,东阿阿胶,379889075.54,871023250.11,143978097.52,143978097.52,0,13800000,0,727045152.59,84444995.57,,,1996.0
425.0,2000,徐工机械,63285361.02,1510767778.25,868549897.4,811420068.62,57129828.78,274274677.2,89170000,642217880.85,75812935.07,,,1996.0
426.0,2000,兴业银锡,124326908.27,1067870879.29,326349011.13,153846046.97,172502964.16,30915310.4,73003570.46,741521868.16,63284070.28,,,1996.0
428.0,2000,华天酒店,133087876.92,704438168.17,175025342.15,175025342.15,0,70000000,0,529412826.02,39136691.35,,,1996.0
429.0,2000,粤高速A,781472969.02,3791087549.15,418658108.97,325196178.77,93461930.2,90000000,87350000,3372429440.18,160822514.78,,,1996.0
430.0,2000,ST 张家界,4726061.18,389930086.93,276661583.75,188687615,87973968.75,77416364.03,83500000,113268503.18,-105629358.65,,,1996.0
488.0,2000,ST 晨鸣,1757347831.43,5384263585.32,1947649481.01,1462110457.25,485539023.76,341724000,482084935.94,3436614104.31,335373964.11,,,1997.0
498.0,2000,山东路桥,141821511.96,1532828641.75,808302936.2,597292936.2,211010000,323100000,189010000,724525705.55,7088186.07,,,1997.0
501.0,2000,武商集团,128692098.6,3248718676.47,1874321433,1677821433,196500000,799410894.95,196500000,1374397243.47,44197353.82,,,1992.0
502.0,2000,绿景退,564842.65,428848445.99,165432793.77,165150433.77,282360,62990455,0,263415652.22,35982120.03,,,1992.0
503.0,2000,国新健康,88294662.24,967103642.4,460549303.57,267153003.57,193396300,153782955,190396300,506554338.83,80353308.73,,,1992.0
504.0,2000,*ST 生物,11524408.34,597048948.6,211299770.29,210299770.29,1000000,58638553.8,0,385749178.31,25252289.54,,,1992.0
505.0,2000,京粮控股,66902306.01,804014293.6,339936915.68,338751408.72,1185506.96,197162122.22,0,464077377.92,62801732.94,,,1992.0
506.0,2000,*ST 中润,40557037.07,727033513.09,447689365.46,447657367.89,31997.57,226888944.87,0,279344147.63,26040570.3,,,1993.0
507.0,2000,珠海港,200492824.78,1133731277.25,201090055.54,168910055.54,32180000,38637300,32180000,932641221.71,55778680.91,,,1993.0
508.0,2000,琼民源A,,,,,,,,,,,,
509.0,2000,华塑控股,153495057.97,686734973.65,309930593.44,302237351.23,7693242.21,184420000,5800000,376804380.21,31317863.22,,,1993.0
510.0,2000,新金路,126984619.37,1001453494.7,416118358.69,373437812.29,42680546.4,121386790,51545000,585335136.01,82076092.51,,,1993.0
511.0,2000,烯碳退,404328450.53,1417785858.82,528036470.85,528036470.85,0,22000000,0,889749387.97,47239460.84,,,1993.0
513.0,2000,丽珠集团,110022836.02,1588290694.11,581236573.49,530716573.49,50520000,173490000,50520000,1007054120.62,25904567.8,,,1993.0
514.0,2000,渝开发,6612148.65,497659239.54,315536254.8,272950604.8,42585650,182800000,40730000,182122984.74,555535.06,,,1993.0
515.0,2000,攀渝钛业,73713409.26,714613322.83,496777888.44,292047679.2,204730209.24,28936560.58,146776288.67,217835434.39,3509307.49,,,1993.0
516.0,2000,国际医学,126647553.35,635785503.27,381078585.95,173741611.32,207336974.63,0,170000000,254706917.32,31339895.45,,,1993.0
517.0,2000,荣安地产,195397990.88,570706203.43,305491695.26,305491695.26,0,268300000,0,265214508.17,54130077.76,,,1993.0
518.0,2000,*ST 四环,26584817.3,274672391.51,69838889.37,69682957.42,155931.95,25650000,0,204833502.14,53016114.97,,,1993.0
519.0,2000,中兵红箭,40271774.74,397504771.31,188126184.92,141026184.92,47100000,84750000,47100000,209378586.39,28370808.01,,,1993.0
520.0,2000,凤凰航运,221839311.02,1386633792.81,127457653.37,127457653.37,0,0,0,1259176139.44,66522177.21,,,1993.0
521.0,2000,长虹美菱,166089037.45,2526682141.54,1149171624.07,1110251624.07,38920000,358360000,38920000,1377510517.47,5526274.24,,,1993.0
522.0,2000,白云山A,19688689.53,1801117337.04,1747705995.22,1736783670.1,10922325.12,1039299669.33,0,53411341.82,71764797.55,,,1993.0
523.0,2000,红棉股份,127652627.93,649289756.09,141021092.02,123178285.75,17842806.27,40000000,0,508268664.07,2432487.69,,,1993.0
524.0,2000,岭南控股,125218920.98,801668798.23,112152735.26,83553034.16,28599701.1,0,0,689516062.97,20425763.17,,,1993.0
525.0,2000,ST 红太阳,302730082.1,634380381.56,194249382.8,193659148.63,590234.17,128750000,0,440130998.76,39693519.79,,,1993.0
526.0,2000,学大教育,17894548.77,227445135.39,64426975.46,44426975.46,20000000,14700000,20000000,163018159.93,16690932.29,,,1993.0
527.0,2000,美的电器,285539149.73,7174086415.56,4819301969.23,4350357155.64,468944813.59,800000000,400000000,2354784446.33,457794809.01,,,1993.0
528.0,2000,柳工,81657744.55,1205027128.23,485180714.41,435482457.41,49698257,198180000,49126757,719846413.82,1099253.11,,,1993.0
529.0,2000,广弘控股,112161694.4,2746059720.9,1088679317.05,821348980.29,267330336.76,683103450,212502600,1657380403.85,7023136.96,,,1993.0
530.0,2000,冰山冷热,340556015.76,1767519306.58,637908707.94,637908707.94,0,266850000,0,1129610598.64,80497891.82,,,1993.0
531.0,2000,穗恒运A,121024879.45,1442024259.15,603443778.95,455762256.37,147681522.58,153400000,140000000,838580480.2,79333010.98,,,1994.0
532.0,2000,华金资本,99030942.35,410388441.63,28364394.46,27966608.38,397786.08,20000000,0,382024047.17,-155920807.39,,,1994.0
533.0,2000,顺钠股份,494288211.19,3696908330.53,2226694051.89,2027066046.15,199628005.74,1399656670,188676995.05,1470214278.64,9879310.97,,,1994.0
534.0,2000,万泽股份,104260035.38,571016140.72,28320248.23,28281826.72,38421.51,0,0,542695892.49,14941978.25,,,1994.0
535.0,2000,*ST 猴王,1040121.11,470235996.03,846807887.77,794748558.24,52059329.53,457885334,50650000,-376571891.74,-689736260.94,,,1993.0
536.0,2000,华映科技,7772026.29,377061649.39,411973340.81,411973340.81,0,226499867.07,0,-34911691.42,-44506510.99,,,1993.0
537.0,2000,中绿电,350404336.49,1148168943.63,322513981.61,313783594.54,8730387.07,222972222,0,825654962.02,128142286.48,,,1993.0
538.0,2000,云南白药,136215241.29,792850527.31,365260079.44,346985079.44,18275000,93800000,10200000,427590447.87,53537162.3,,,1993.0
539.0,2000,粤电力A,1573505139,11299123769.9,4052609914.81,1406988103.91,2645621810.9,200000000,2720000000,7246513855.09,1476756259.36,,,1993.0
540.0,2000,*ST 中天,315389015.37,1082508597.83,646637664.75,436928263.71,209709401.04,2745000,202634220.89,435870933.08,229477960.47,,,1994.0
541.0,2000,佛山照明,1017583534.2,2171997490.15,288748128.05,288748128.05,0,0,0,1883249362.1,160289507.18,,,1993.0
542.0,2000,TCL通讯,144009350.76,1090892510.42,589542686.32,578601938.89,10940747.43,171397295.6,10883187.53,501349824.1,34060990.74,,,1993.0
543.0,2000,皖能电力,211964644.2,2790321817.13,434904217.44,372943921.72,61960295.72,20080000,0,2355417599.69,221386520.31,,,1993.0
544.0,2000,中原环保,103505831.4,1275388293.9,966402682.72,843109074.82,123293607.9,366160796,87609217.6,308985611.18,-490951.29,,,1993.0
545.0,2000,金浦钛业,10266401.03,340642077.51,177576667.39,163576667.39,14000000,93783500,14000000,163065410.12,4872220.14,,,1993.0
546.0,2000,金圆股份,3002709.62,396024004.95,489166918.77,487843839.03,1323079.74,253953781.99,0,-93142913.82,-134082505.95,,,1993.0
547.0,2000,航天发展,138926027.98,996927913.79,569672409.18,566465633.04,3206776.14,465900000,0,427255504.61,41581435.76,,,1993.0
548.0,2000,湖南投资,145290236.15,807397040.36,260454321.52,209148578.4,51305743.12,135200000,21472306.01,546942718.84,56075040.01,,,1993.0
549.0,2000,S 湘火炬,1077370914.38,2308094685.99,1245834261.74,1228946366.62,16887895.12,643578978.06,16324007.58,1062260424.25,106823692.72,,,1993.0
550.0,2000,江铃汽车,760768934.85,4302038522.66,2586636539.34,1482178778.09,1104457761.25,519370000,1191949575.06,1715401983.32,60458749.12,,,1993.0
551.0,2000,创元科技,223853868.26,1197238183.8,654685356.87,615523397.87,39161959,211419906.09,18900000,542552826.93,46498237.35,,,1994.0
552.0,2000,甘肃能化,16331065.95,520333328.41,280444830.97,278579896.15,1864934.82,72921910,0,239888497.44,33173615.54,,,1994.0
553.0,2000,安道麦A,542644340.66,1897377517.05,845571932.06,658887305.68,186684626.38,366949930,176990000,1051805584.99,16930443.46,,,1993.0
554.0,2000,泰山石油,144373947.31,1197169139.85,394263710.6,444700752.58,-50437041.98,61600000,0,802905429.25,134101688.62,,,1993.0
555.0,2000,神州信息,12522908.22,114498048.89,11811614.57,11063962.32,747652.25,6250000,0,102686434.32,479982.98,,,1994.0
556.0,2000,PT 南洋,550441.92,207311520.13,429579203.52,247167605.59,182411597.93,78234072.14,0,-222267683.39,-41320213,,,1994.0
557.0,2000,西部创业,555000221.32,3151295340.92,1799993558.58,1461105433.24,338888125.34,931888925.12,247572686,1351301782.34,415989700.78,,,1994.0
558.0,2000,天府文旅,35343187,531812820.91,367490570.12,348947626.12,18542944,81040000,18542944,164322250.79,13349560.56,,,1994.0
559.0,2000,万向钱潮,177554442.69,1592732879.67,565991588.68,550278697.12,15712891.56,121960000,0,1026741290.99,146386220.96,,,1994.0
560.0,2000,我爱我家,75628375.49,1102393818.49,924597383.32,831453024.16,93144359.16,511850000,90144359.16,177796435.17,-78384496.71,,,1994.0
561.0,2000,烽火电子,45123751.81,1648605753.83,814500739.51,811750739.51,2750000,152857200,2350000,834105014.32,12788192.43,,,1994.0
562.0,2000,宏源证券,1786735500.65,5092419601.87,4446282047.3,,,319000000,50000000,646137554.57,81769682.45,,,1994.0
563.0,2000,陕国投A,1600219935.78,3618322867.13,3100270757.16,,,,80000000,518052109.97,48960729.95,,,1994.0
564.0,2000,供销大集,42401199.36,991703998.74,446804419.74,301657552.88,145146866.86,98800000,126000000,544899579,34432984.19,,,1994.0
565.0,2000,渝三峡A,107130269.45,482445942.45,117988299.68,117489474.19,498825.49,80120000,0,364457642.77,2799837.55,,,1994.0
566.0,2000,海南海药,11507354.36,885584043.55,676940752.31,139942233.2,536998519.11,29320694.44,49172488.45,208643291.24,-54082128.33,,,1994.0
567.0,2000,海德股份,396489.11,425145728.97,268034923.98,268034923.98,0,120995207.17,0,157110804.99,-41270326.35,,,1994.0
568.0,2000,泸州老窖,174952746.78,2038171431.77,706934137.32,380903658.71,326030478.61,136650000,324000000,1331237294.45,169236085.26,,,1994.0
569.0,2000,长城股份,111861599.9,2266219083.31,1467184648.64,1440136914.39,27047734.25,78005000,2950000,799034434.67,67045637.16,,,1994.0
570.0,2000,苏常柴A,252990622,3574547384,1760065989,1609673474,150392515,606310000,153000000,1814481395,29351457,,,1994.0
571.0,2000,新大洲A,304435375.19,2911717294.62,1798862320.77,1542251021.64,256611299.13,407000000,256452560,1112854973.85,-149534827.23,,,1994.0
572.0,2000,海马汽车,45504104.96,913255999.57,649377843.22,578206574.89,71171268.33,231340000,71171268.33,263878156.35,1127418.75,,,1994.0
573.0,2000,粤宏远A,74511640.17,2270217401.18,849455953.52,729455953.52,120000000,618160000,120000000,1420761447.66,5112599.3,,,1994.0
576.0,2000,甘化科工,108070208.88,1663512918.44,686832743.46,555727196.6,131105546.86,249410000,101706036.86,976680174.98,26706172.31,,,1994.0
578.0,2000,盐湖集团,38909693.38,628021448.66,337378177.96,284851392.39,52526785.57,194750000,50000000,290643270.7,39742800.38,,,1995.0
581.0,2000,威孚高科,707708064.95,1992760589.74,329237831.11,327737831.11,1500000,51500000,1500000,1663522758.63,133706891.15,,,1995.0
582.0,2000,北部湾港,103119034.89,935749462.16,398444451,258918355.9,139526095.1,38000000,83101303.57,537305011.16,15891643.02,,,1995.0
583.0,2000,S*ST 托普,970102591,1893163327.86,580776781.35,443187136.26,137589645.09,98220000,17163835.4,1312386546.51,113513767.14,,,1995.0
584.0,2000,*ST 工智,33595352.12,675846515.53,387303711.18,387303711.18,0,275212690,0,288542804.35,20660116.1,,,1995.0
585.0,2000,东电退,399011393.68,4454892243.88,3310516176.32,2744787170.34,565729005.98,1372664231.71,565013934.18,1144376067.56,-365632763.6,,,1995.0
586.0,2000,汇源通信,228454202.64,502950867.44,192688559.59,185688559.59,7000000,83070000,7000000,310262307.85,-56278909.55,,,1995.0
