code,year,stknme,Lev,SL,LL,SDR,Cash,ROA,ROE,SLoan,LLoan,Top1,HHI5,Size,Age
1.0,2000,平安银行,0.9295097442076048,,,,,0.007534889542829341,0.10689264009795572,,,,,24.931348223519695,10.0
1.0,2001,平安银行,0.9698013827467865,,,,,0.003349459187069901,0.11091432296336275,,,,,25.511815214826893,11.0
1.0,2002,平安银行,0.9773238040895774,,,,,0.002601157535963018,0.11470872567155155,,,,,25.83625540889234,12.0
1.0,2003,平安银行,0.9794396502146537,,,,,0.0016414003447691042,0.07983328892288388,,,7.0838,0.02292,25.9851837262695,13.0
1.0,2004,平安银行,0.9770681663724196,,,,,0.0014184705439438824,0.061855958270945484,,,17.8898,0.033561,26.042788885362793,14.0
1.0,2005,平安银行,0.9779987749253342,,,,,0.001534477619153681,0.06974509891817864,,,17.8898,0.033563,26.157932441421202,15.0
1.0,2006,平安银行,0.9751532884594079,,,,0.0005102571942314837,0.005000096792431078,0.20123776879940022,0.0,,17.8898,0.033623,26.28616141244645,16.0
1.0,2007,平安银行,0.9631074868828619,,,,0.00047988851198773523,0.007516615995681685,0.20374366939480457,0.0,,16.6963,0.029601,26.5884281153763,17.0
1.0,2008,平安银行,0.9654312789402005,,,,0.0005176578607138339,0.00129423062157091,0.037439355055457695,0.0,,16.7582,0.032228,26.88540136274784,18.0
1.0,2009,平安银行,0.9651765485572699,,,,0.0005347446409743137,0.008558411987890653,0.24576575937527678,0.0,,16.7582,0.031575,27.099671362446095,19.0
1.0,2010,平安银行,0.9543492684606386,,,,0.0018822130867897139,0.008641027029830496,0.18928562015221914,0.0,,14.9632,0.036849,27.31247711023539,20.0
1.0,2011,平安银行,0.9400874540266572,,,,0.0015704377606120287,0.008258370215374095,0.13784041524538998,0.0,,42.1562,0.184405,27.86068491932376,21.0
1.0,2012,平安银行,0.9472164116555913,0.0,0.0,0.0,0.004477604609369286,0.008409879148983805,0.15932753745558234,0.0,0.0,42.1562,0.18446,28.10510189728224,22.0
1.0,2013,平安银行,0.9407524602997979,0.0,0.0,0.0,0.005456475803543829,0.008051313578338683,0.13589279182020148,0.0,0.0,58.3002,0.346891,28.268518685010054,23.0
1.0,2014,平安银行,0.9401090987756917,0.0,0.0,0.0,0.0037711710363423625,0.009056652788824305,0.15121917693147713,0.0,0.0,50.1965,0.257332,28.41330445619435,24.0
1.0,2015,平安银行,0.9355842034119233,0.0,0.0,0.0,0.0044056765786547195,0.008721061253240235,0.13538699690402478,0.0,0.0,49.5649,0.250983,28.55016736692456,25.0
1.0,2016,平安银行,0.9315471413954062,,,,0.006692234162932765,0.007651770786142504,0.11178161061675512,0.0,,49.5649,0.250857,28.7139896770753,26.0
1.0,2017,平安银行,0.9316435963470848,,,,,0.007138428689901781,0.10442955317175101,,,49.5649,0.251185,28.809206463540953,27.0
1.0,2018,平安银行,0.9297833728037742,,,,,0.007259713940710093,0.1033902400413261,,,49.5649,0.251173,28.860249886326603,28.0
1.0,2019,平安银行,0.9205439354974652,,,,,0.007157780897521496,0.09008476498723574,,,49.565,0.256419,29.001965770767285,29.0
1.0,2020,平安银行,0.9185118363733447,,,,,0.006473740487329792,0.07944393638553159,,,49.565,0.260038,29.128077030805358,30.0
1.0,2021,平安银行,0.9196469283005986,,,,,0.007383294929471002,0.09188565879711112,,,49.565,0.258495,29.224610094908293,31.0
1.0,2022,平安银行,0.9183164791072616,,,,,0.00855320497136717,0.10471151191681237,,,49.565,0.254528,29.30277896526122,32.0
1.0,2023,平安银行,0.9154612146946653,,,,,0.008314665383714961,0.09835326298673804,,,49.565,0.251863,29.35148434867436,33.0
1.0,2024,平安银行,0.9142279699164713,,,,,0.0077146675402607265,0.08994386086872173,,,,,29.3835666719802,34.0
2.0,2000,万科A,0.4725160870169289,0.4504793485379536,0.022036738478975235,0.9533629878760388,0.1771080356271483,0.05534748899915946,0.10492734970087278,0.10067148923920692,0.01422918575819179,,,22.44999728124057,10.0
2.0,2001,万科A,0.5177965599209328,0.4697716962347036,0.04802486368622915,0.9072514817526742,0.124231435357099,0.05891940320983307,0.12218785332633049,0.2087025208808629,0.0402596880634924,,,22.592435572137838,11.0
2.0,2002,万科A,0.582943892122833,0.37190958954566855,0.21103430257716446,0.6379852239146592,0.14452668542994515,0.04844899179938122,0.11616900192635618,0.05598952639655886,0.019474617877063952,,,22.829327681819315,12.0
2.0,2003,万科A,0.5492432230715367,0.4523039731460642,0.09693924992547265,0.8235039671798615,0.09173194232208694,0.05358284881717343,0.1188730853528071,0.15907524114826752,0.02463772484927334,11.1868,0.02292,23.080437604285304,13.0
2.0,2004,万科A,0.5941627356927957,0.40450526057546865,0.18965747511732692,0.6807987715752895,0.2016167331376423,0.05875041173764829,0.1447634727134774,0.05117666900568607,0.057916119730000666,12.8906,0.025352,23.466324206893244,14.0
2.0,2005,万科A,0.6098094648298684,0.4937963534030443,0.11601311142682416,0.8097551479310168,0.14773448478609677,0.06517825381816462,0.16704211902460803,0.04092324279648186,0.054331933364476795,11.8094,0.02517524,23.81396241510134,15.0
2.0,2006,万科A,0.6494181365085943,0.4511628368046783,0.198255299703916,0.6947185664235106,0.22148333171452564,0.04441830165230387,0.12669880070220108,0.05597993350348999,0.19606858956684567,14.5428,0.022445,24.604992870446406,16.0
2.0,2007,万科A,0.661124897930241,0.48727951367990097,0.17384538425034,0.7370460788958467,0.17030416306252405,0.05312482226981892,0.15676814833945196,0.011038072563733509,0.16346637513675083,14.6345,0.021906,25.329380256088935,17.0
2.0,2008,万科A,0.6744409343843838,0.5413919290003086,0.13304900538407508,0.8027269719245028,0.16755165215785148,0.03891313524409424,0.11952711306168484,0.0385952728943132,0.07694048350170284,14.7255,0.022056,25.50437542135537,18.0
2.0,2009,万科A,0.6700167913952121,0.49457884310797456,0.1754379482872374,0.7381588781948082,0.16715475181988698,0.046726800863958334,0.14160357147118288,0.008635045347167731,0.12719266123251086,14.7255,0.022258,25.64767893223829,19.0
2.0,2010,万科A,0.7468613458023174,0.6012440340340777,0.1456173117682398,0.8050276499290372,0.1753726686579894,0.04099290885857924,0.16193855888388659,0.006854093770131102,0.11496373934063298,14.7255,0.022114,26.096864834014443,20.0
2.0,2011,万科A,0.7709972796853848,0.6776449728944144,0.09335230679097045,0.8789200568527765,0.11559263568454176,0.03916028257193899,0.17100356938179018,0.005821733065286921,0.07080136525114686,14.7255,0.022248,26.41432923273624,21.0
2.0,2012,万科A,0.783163028563759,0.6859357414814375,0.0972272870823214,0.8758530682166823,0.1380446650025121,0.04134773401096408,0.19068581218919115,0.026220585776868335,0.09513177592732787,14.725,0.022228,26.660278461911783,22.0
2.0,2013,万科A,0.7799702586135575,0.68639018826846,0.09358007034509763,0.8800209760415203,0.09258121231223305,0.038183110608956364,0.17353613365338022,0.010647867168864475,0.07654991842093792,14.699,0.022026,26.895394992806438,23.0
2.0,2014,万科A,0.772046378656046,0.6798742690594505,0.09217210959659548,0.8806132479281287,0.12335596645000162,0.037937041450656114,0.16642438592108955,0.004687310513961781,0.06793099404363027,14.9082,0.038131,26.954551597623354,24.0
2.0,2015,万科A,0.7770152042222829,0.6871664855487541,0.08984871867352863,0.8843668461243838,0.08699618290602522,0.042449903774698414,0.19037129247598875,0.003108296650509625,0.05533916163212626,15.2264,0.047074,27.138846423323837,25.0
2.0,2016,万科A,0.8053670517624075,0.6982261827090221,0.10714086905338524,0.8669664113786056,0.10477286612700616,0.034129210953512325,0.175351662000465,0.0199555841803148,0.06790395119761258,15.2436,0.04845,27.445503513927846,26.0
2.0,2017,万科A,0.8398125602717742,0.7271271901350899,0.11268537013668435,0.8658208087525889,0.14941560022998512,0.03192902196040349,0.19932288083618988,0.01382323015163434,0.08240382607777731,29.3755,0.110235,27.78403994214072,27.0
2.0,2018,万科A,0.845856396660383,0.7339585818906736,0.11189781476970947,0.86771062415381,0.12326311096511593,0.03223404419659384,0.20911697597709702,0.006608696723477223,0.07911205586230408,29.3755,0.113248,28.055359894806493,28.0
2.0,2019,万科A,0.8435895086067219,0.7356428805322252,0.10794662807449666,0.8720389158789065,0.09607015805637263,0.03186928493488742,0.2037541385555485,0.008881999078931384,0.06608349168703112,28.692,0.106589,28.17910174349181,29.0
2.0,2020,万科A,0.8128350307388363,0.7048517195588253,0.107983311180011,0.8671522423414032,0.10444741913218647,0.03172418313636467,0.1694985085168252,0.013434541286988101,0.07063899055544919,27.9126,0.108411,28.256519393260163,30.0
2.0,2021,万科A,0.7973975799244908,0.6764782183556732,0.1209193615688176,0.8483575011849572,0.07703987767380946,0.019637252798471724,0.09692506531340046,0.007434344262537272,0.07960344773946942,27.8942,0.107087,28.29300684697362,31.0
2.0,2022,万科A,0.7695146136391504,0.6133894361174527,0.15612517752169772,0.7971121343838315,0.07808646415337352,0.021370660131117512,0.09272023909428882,0.0023523127451367913,0.10288018086502726,27.8815,0.107668,28.194699750287814,32.0
2.0,2023,万科A,0.7322434230245014,0.5460910818354573,0.18615234118904406,0.7457780632290973,0.06632803537334118,0.01359308640404523,0.050766582683379184,0.0007067559965808496,0.13141782906239058,27.1804,0.11006,28.039714455763537,33.0
2.0,2024,万科A,0.7365581613147495,0.5590330851043073,0.17752507621044225,0.7589802332872646,0.06854203243043064,-0.037864770506946525,-0.14373104399785872,0.012418223168728983,0.13907470395918947,,,27.882759789578078,34.0
3.0,2000,PT 金田A,1.1998930907792942,1.082512821716019,0.11738026906327526,0.9021743937311613,0.023258942334991303,-0.23999848917919728,0.704668779769442,0.49358496801201107,0.012143863805374003,,,21.63733236259076,10.0
3.0,2001,PT 金田A,1.8199340924351015,1.5737709117598286,0.2461631806752728,0.8647406069821448,0.005826661544102192,0.00950629999098092,-0.011593980636600195,0.7588164460434448,0.0,,,20.91549013134053,11.0
4.0,2000,*ST 国华,0.7621000183268892,0.7621000183268892,0.0,1.0,0.1274682699429699,0.04424859444975835,0.18599662824084887,0.4352559635695034,0.0,,,20.04639882655939,10.0
4.0,2001,*ST 国华,0.4607225863260322,0.4246879794663301,0.03603460685970211,0.9217867586066161,0.2203475504778875,0.05787033623352358,0.1073108844653197,0.23314390638227264,0.03603460685970211,,,19.218227600266285,11.0
4.0,2002,*ST 国华,0.5295407867408334,0.4817437386969524,0.047797048043880914,0.9097386844589297,0.09818492566930745,0.031154314348619292,0.06622107394346424,0.3527877355619782,0.03034733209135296,,,19.389998769717604,12.0
4.0,2003,*ST 国华,0.4601395135252982,0.4181006551322071,0.042038858393091065,0.9086388863433703,0.1727902146413659,0.0321234965736189,0.05950332980171577,0.277456465394401,0.0,37.9429,0.15221,19.28725653955515,13.0
4.0,2004,*ST 国华,0.42769601209718144,0.37869247539400236,0.04900353670317904,0.8854243777890441,0.10040088151991741,-0.015321455632993334,-0.026771533934505855,0.27068620274136995,0.0,37.9429,0.151815,19.182748620988043,14.0
4.0,2005,*ST 国华,0.3588437880368989,0.3537112653684426,0.00513252266845632,0.9856970558232749,0.2047083244688171,-0.11918624495170212,-0.18589267752202854,0.17578890139462897,0.0,37.9429,0.149889,18.864524999080967,15.0
4.0,2006,*ST 国华,0.4504149833158276,0.446499262121596,0.003915721194231538,0.991306414441622,0.27125184552075865,0.01495393978372191,0.027209511412709098,0.11942949642406189,0.0,28.4445,0.084505,19.135122760068622,16.0
4.0,2007,*ST 国华,0.42418358885278357,0.3617655103542246,0.06241807849855894,0.8528512650209537,0.3635768449525559,-0.05889658323641452,-0.1022836134855432,0.09716021653077571,0.0,25.9643,0.06772,18.95026488512146,17.0
4.0,2008,*ST 国华,0.4917934111961387,0.42862695489160907,0.06316645630452959,0.8715589618191584,0.19473090677363755,-0.06843544150433355,-0.13466067345841853,0.09832514424761683,0.0,26.0756,0.070065,18.938346432486906,18.0
4.0,2009,*ST 国华,0.6103675476223739,0.5643829685064707,0.04598457911590308,0.924660838710984,0.3458644168686115,0.019662891675855866,0.05046523090124657,0.08459427290189718,0.0,26.0961,0.07131,19.255813734390493,19.0
4.0,2010,*ST 国华,0.29857427236707146,0.2942316252573344,0.004342647109737076,0.9854553874474551,0.24472679448121878,0.10965874932380983,0.1563369363337591,0.0,0.0,26.0961,0.073459,19.03163819033435,20.0
4.0,2011,*ST 国华,0.2949351535993749,0.2908599086740017,0.004075244925373236,0.9861825730990723,0.29101514555260816,0.046830003727583745,0.0664194278961037,0.0,0.0,26.0961,0.072628,19.095191436359503,21.0
4.0,2012,*ST 国华,0.2325276091520232,0.22838067431106046,0.004146934840962746,0.9821658389036653,0.2914737875219463,0.04050635388779153,0.05277890692984571,0.0,0.0,26.0961,0.071255,19.077752816822542,22.0
4.0,2013,*ST 国华,0.4032394211408936,0.3090837152030354,0.09415570593785824,0.7665017332098594,0.23319856476536333,0.023938467922043048,0.04011402356336755,0.0,0.09085199695758252,26.0961,0.071697,19.30507651488318,23.0
4.0,2014,*ST 国华,0.5347544682054719,0.4437063276301396,0.09104814057533227,0.829738420174643,0.11807024555553917,0.046188643554358366,0.09927799494645595,0.0,0.08868325380714182,26.0961,0.069123,19.639392142978075,24.0
4.0,2015,*ST 国华,0.5904017152495257,0.5131455157569816,0.07725619949254399,0.8691463837297752,0.1292205758781687,0.01719991819670127,0.04199216363217779,0.025083181653423374,0.07524954496027011,28.4182,0.096468,19.803653362037466,25.0
4.0,2016,*ST 国华,0.20345630761888872,0.16405139758130843,0.03940491003758028,0.8063224949929153,0.45204389854376664,0.1775298333690193,0.22287519826857036,0.0,,28.4182,0.096865,19.22588925800566,26.0
4.0,2017,*ST 国华,0.31524660751399686,0.2614539848899135,0.05379262262408329,0.8293633576320247,0.3935920626030063,0.02191692926187318,0.03200704005613404,,,28.4327,0.094558,19.409642943364215,27.0
4.0,2018,*ST 国华,0.4779659365925319,0.47568788612530594,0.0022780504672259626,0.9952338643973954,0.13953997759673537,-0.061543475694888994,-0.11789168563671276,,,28.4327,0.091452,19.67680226667089,28.0
4.0,2019,*ST 国华,0.06087431735807279,0.05725338649764025,0.0029900430407235517,0.9503673170064222,0.0989257506721411,-0.0024115198348312527,-0.0025661111724354776,,,28.4327,0.089003,21.125051026612525,29.0
4.0,2020,*ST 国华,0.06826371324057677,0.06589298510480236,0.0023707281357744025,0.9652710345916955,0.11523473142522127,0.039646818900159565,0.04255154539279683,0.006395649440370596,,14.4662,0.049763,21.170232945668673,30.0
4.0,2021,*ST 国华,0.14616389210118055,0.14091825635457875,0.0052456357466017876,0.9641112748764891,0.15257761346979157,-0.3602104705385016,-0.5363325164558734,,,15.3054,0.045271,20.828139196027738,31.0
4.0,2022,*ST 国华,0.387338279078703,0.36616565054881567,0.021172628529887386,0.9453381458185668,0.22435448725188775,-0.26859668232191686,-1.080716139821969,,,18.2215,0.043335,20.170559917641864,32.0
4.0,2023,*ST 国华,0.5310936701762939,0.47165299161855995,0.05944067855773404,0.8880787290535717,0.2266437545382966,-0.24351824080959492,-0.825951196373816,,,18.2858,0.039492,19.840045526660827,33.0
4.0,2024,*ST 国华,0.7657097869968321,0.6466110602544309,0.11909872674240124,0.844459704231397,0.23217173835785956,-0.2956380295122236,-1.7171581050343792,0.010614830756249288,,,,19.555974502828523,34.0
5.0,2000,ST 星源,0.5838499797912939,0.5031835475450273,0.08066643224626661,0.8618370556849173,0.014410117708559086,-0.004608315064095931,-0.01107368698861239,0.3557545264143958,0.08066643224626661,,,21.426693506306837,11.0
5.0,2001,ST 星源,0.4329653499047152,0.356054865442519,0.07691048446219621,0.8223634189684641,0.0298424197006403,-0.03745258992845414,-0.06604991409636181,0.23413812542917278,0.07691048446219621,,,21.37783590458201,12.0
5.0,2002,ST 星源,0.4633388514739883,0.3820446841671292,0.08129416730685911,0.8245470522313345,0.015097163578115044,-0.05146260398006676,-0.09589403690096339,0.2579944139994197,0.08129416730685911,,,21.322403839573465,13.0
5.0,2003,ST 星源,0.47957627696477384,0.3964676728543403,0.08310860411043354,0.8267040967154885,0.026927043650661262,0.0005171686877404424,0.000993745413303222,0.27912572221203874,0.08310860411043354,34.5394,0.124617,21.30032987497388,14.0
5.0,2004,ST 星源,0.5093521462642073,0.4394007668231882,0.06995137944101922,0.8626659768608602,0.0380879751080762,0.0009335747688180074,0.001902738923058094,0.2356268382938702,0.06995137944101922,34.5394,0.124617,21.316929617074006,15.0
5.0,2005,ST 星源,0.5983874198978687,0.5319397812560955,0.06644763864177314,0.8889554886479494,0.020884040667395395,-0.10947926941264176,-0.27259920340344135,0.23477947903678548,0.06644763864177314,34.5394,0.124617,21.22032107153577,16.0
5.0,2006,ST 星源,0.5408640835784261,0.5381328745124104,0.002731209066015632,0.994950285757661,0.0271983580840508,0.035869482949014195,0.07812388808214953,0.23903747503510983,0.0,19.7746,0.042805,21.14741778140122,17.0
5.0,2007,ST 星源,0.4850050686292299,0.4838528482931354,0.0011522203360944975,0.9976243127946044,0.02610485164469558,0.053104612201860295,0.10311676672333629,0.2027128666343807,0.0,20.1386,0.042688,21.099661757017564,18.0
5.0,2008,ST 星源,0.45864512288376236,0.45826447897760364,0.0003806439061587085,0.9991700687804869,0.0231088239642859,0.007559023553588451,0.013963157760496923,0.08163255086343839,0.0,20.1502,0.042062,21.05187239719703,19.0
5.0,2009,ST 星源,0.4675749549866466,0.46709481058884983,0.00048014439779676406,0.9989731178013791,0.03337439520798571,-0.03708261410159387,-0.06964851569043642,0.09769003823800147,0.0,20.1502,0.042048,21.00029428216922,20.0
5.0,2010,ST 星源,0.4779603182432544,0.4751406086058952,0.002819709637359223,0.994100536112029,0.014618351919806741,-0.003421735983836361,-0.006554551509037936,0.09228904893015555,0.0,20.1502,0.042188,20.980701515308343,21.0
5.0,2011,ST 星源,0.4764843410624268,0.45214484447271575,0.024339496589711095,0.9489185803347895,0.012924739804195597,0.00905503454132357,0.01729658776530186,0.015627650513113513,0.023798452558040886,20.1502,0.042522,20.95484265861465,22.0
5.0,2012,ST 星源,0.483141538409433,0.48287462790355457,0.0002669105058784024,0.9994475521464018,0.009935289025060077,0.016686805744591075,0.03228505864688667,0.022732397539467625,0.0,20.1502,0.042539,21.000672107227555,23.0
5.0,2013,ST 星源,0.4748309447752741,0.47455351482164665,0.000277429953627372,0.9994157289943293,0.03825027560070382,-0.035624123614119804,-0.06783363044662985,0.02944507106054286,0.0,20.1502,0.042651,20.89608736871081,24.0
5.0,2014,ST 星源,0.5099635880102232,0.4731749588310196,0.036788629179203676,0.9278602824904704,0.04090671361784313,0.03158343984215735,0.06445121029662639,0.03914642335028492,0.03658544238344385,20.1502,0.042026,21.03563843017662,25.0
5.0,2015,ST 星源,0.44703998898092584,0.4244103668401803,0.022629622140745594,0.9493789757101324,0.07429013371957678,-0.024626937110126847,-0.044536560726589944,0.031221388127539662,0.011850453887825274,17.4052,0.032412,21.50899620535022,26.0
